        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  25.00 keV   1.194E+02  1.743E+03     228 A        56 A        42 A   
  27.50 keV   1.252E+02  1.803E+03     240 A        59 A        44 A   
  30.00 keV   1.308E+02  1.858E+03     252 A        61 A        46 A   
  32.50 keV   1.361E+02  1.908E+03     263 A        63 A        48 A   
  35.00 keV   1.412E+02  1.956E+03     274 A        66 A        50 A   
  37.50 keV   1.462E+02  2.000E+03     284 A        68 A        52 A   
  40.00 keV   1.510E+02  2.041E+03     295 A        70 A        53 A   
  45.00 keV   1.601E+02  2.117E+03     315 A        74 A        57 A   
  50.00 keV   1.688E+02  2.184E+03     334 A        77 A        60 A   
  55.00 keV   1.770E+02  2.245E+03     353 A        81 A        63 A   
  60.00 keV   1.849E+02  2.301E+03     372 A        85 A        66 A   
  65.00 keV   1.925E+02  2.351E+03     390 A        88 A        69 A   
  70.00 keV   1.997E+02  2.398E+03     408 A        91 A        72 A   
  72.00 keV   2.025E+02  2.415E+03     415 A        92 A        73 A   
