        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 keV   6.462E+01  4.792E+02      55 A        27 A        20 A   
   3.25 keV   6.726E+01  4.864E+02      58 A        28 A        21 A   
   3.50 keV   6.980E+01  4.929E+02      61 A        30 A        22 A   
   3.75 keV   7.225E+01  4.987E+02      64 A        31 A        23 A   
   4.00 keV   7.462E+01  5.039E+02      67 A        32 A        24 A   
   4.50 keV   7.915E+01  5.130E+02      73 A        35 A        26 A   
   5.00 keV   8.343E+01  5.204E+02      79 A        37 A        27 A   
   5.50 keV   8.750E+01  5.266E+02      85 A        40 A        29 A   
   6.00 keV   9.139E+01  5.317E+02      91 A        42 A        31 A   
   6.50 keV   9.513E+01  5.360E+02      96 A        44 A        33 A   
   7.00 keV   9.872E+01  5.396E+02     102 A        47 A        34 A   
   8.00 keV   1.055E+02  5.450E+02     113 A        51 A        38 A   
   9.00 keV   1.119E+02  5.487E+02     125 A        55 A        41 A   
  10.00 keV   1.180E+02  5.510E+02     136 A        60 A        44 A   
  11.00 keV   1.237E+02  5.522E+02     147 A        64 A        47 A   
  12.00 keV   1.293E+02  5.526E+02     158 A        68 A        50 A   
  13.00 keV   1.345E+02  5.524E+02     169 A        72 A        53 A   
  14.00 keV   1.396E+02  5.517E+02     180 A        76 A        56 A   
  15.00 keV   1.445E+02  5.505E+02     191 A        80 A        59 A   
  16.00 keV   1.492E+02  5.491E+02     202 A        84 A        61 A   
  17.00 keV   1.538E+02  5.473E+02     213 A        88 A        64 A   
  18.00 keV   1.583E+02  5.453E+02     224 A        92 A        67 A   
  20.00 keV   1.669E+02  5.408E+02     246 A       100 A        72 A   
  22.50 keV   1.770E+02  5.346E+02     273 A       110 A        79 A   
  25.00 keV   1.866E+02  5.278E+02     300 A       119 A        86 A   
  27.50 keV   1.957E+02  5.208E+02     328 A       128 A        93 A   
  30.00 keV   2.044E+02  5.137E+02     356 A       138 A        99 A   
  32.50 keV   2.127E+02  5.066E+02     383 A       147 A       106 A   
  35.00 keV   2.207E+02  4.996E+02     411 A       156 A       112 A   
  37.50 keV   2.285E+02  4.926E+02     439 A       164 A       119 A   
  40.00 keV   2.360E+02  4.857E+02     467 A       173 A       125 A   
  45.00 keV   2.503E+02  4.725E+02     523 A       190 A       138 A   
  50.00 keV   2.638E+02  4.598E+02     580 A       207 A       150 A   
  55.00 keV   2.767E+02  4.478E+02     637 A       224 A       163 A   
  60.00 keV   2.884E+02  4.364E+02     694 A       240 A       175 A   
  65.00 keV   3.007E+02  4.256E+02     751 A       256 A       188 A   
  70.00 keV   3.131E+02  4.154E+02     808 A       271 A       200 A   
  80.00 keV   3.365E+02  3.965E+02     924 A       302 A       224 A   
  90.00 keV   3.572E+02  3.795E+02    1039 A       330 A       248 A   
 100.00 keV   3.749E+02  3.641E+02    1155 A       358 A       272 A   
 110.00 keV   3.902E+02  3.501E+02    1271 A       385 A       295 A   
 120.00 keV   4.034E+02  3.374E+02    1387 A       412 A       318 A   
 130.00 keV   4.150E+02  3.256E+02    1505 A       437 A       341 A   
 140.00 keV   4.253E+02  3.148E+02    1622 A       462 A       363 A   
 150.00 keV   4.346E+02  3.048E+02    1741 A       487 A       386 A   
 160.00 keV   4.432E+02  2.956E+02    1860 A       511 A       408 A   
 170.00 keV   4.513E+02  2.870E+02    1979 A       535 A       430 A   
 180.00 keV   4.590E+02  2.789E+02    2099 A       558 A       451 A   
 200.00 keV   4.739E+02  2.643E+02    2341 A       603 A       494 A   
 225.00 keV   4.923E+02  2.484E+02    2643 A       657 A       547 A   
 250.00 keV   5.112E+02  2.346E+02    2946 A       709 A       599 A   
 275.00 keV   5.309E+02  2.225E+02    3248 A       758 A       650 A   
 300.00 keV   5.515E+02  2.117E+02    3548 A       804 A       699 A   
 325.00 keV   5.731E+02  2.021E+02    3844 A       848 A       747 A   
 350.00 keV   5.956E+02  1.935E+02    4137 A       889 A       794 A   
 375.00 keV   6.189E+02  1.856E+02    4426 A       928 A       839 A   
 400.00 keV   6.430E+02  1.785E+02    4709 A       964 A       883 A   
 450.00 keV   6.928E+02  1.660E+02    5261 A      1032 A       966 A   
 500.00 keV   7.443E+02  1.554E+02    5790 A      1092 A      1043 A   
 550.00 keV   7.968E+02  1.462E+02    6298 A      1145 A      1114 A   
 600.00 keV   8.499E+02  1.381E+02    6784 A      1193 A      1180 A   
 650.00 keV   9.030E+02  1.311E+02    7251 A      1235 A      1241 A   
