        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 keV   3.956E+01  4.434E+02      55 A        28 A        20 A   
   3.00 keV   4.132E+01  4.506E+02      58 A        29 A        22 A   
   3.25 keV   4.300E+01  4.570E+02      61 A        31 A        23 A   
   3.50 keV   4.463E+01  4.626E+02      65 A        32 A        24 A   
   3.75 keV   4.619E+01  4.677E+02      68 A        34 A        25 A   
   4.00 keV   4.771E+01  4.722E+02      72 A        35 A        26 A   
   4.50 keV   5.060E+01  4.799E+02      78 A        38 A        28 A   
   5.00 keV   5.334E+01  4.862E+02      85 A        41 A        30 A   
   5.50 keV   5.594E+01  4.913E+02      91 A        44 A        32 A   
   6.00 keV   5.843E+01  4.955E+02      98 A        46 A        34 A   
   6.50 keV   6.082E+01  4.989E+02     104 A        49 A        36 A   
   7.00 keV   6.311E+01  5.017E+02     111 A        52 A        38 A   
   8.00 keV   6.747E+01  5.057E+02     123 A        57 A        41 A   
   9.00 keV   7.156E+01  5.082E+02     136 A        62 A        45 A   
  10.00 keV   7.544E+01  5.094E+02     148 A        67 A        49 A   
  11.00 keV   7.912E+01  5.097E+02     161 A        72 A        52 A   
  12.00 keV   8.264E+01  5.094E+02     173 A        77 A        55 A   
  13.00 keV   8.601E+01  5.084E+02     186 A        82 A        59 A   
  14.00 keV   8.926E+01  5.071E+02     198 A        87 A        62 A   
  15.00 keV   9.239E+01  5.054E+02     211 A        92 A        66 A   
  16.00 keV   9.542E+01  5.034E+02     224 A        96 A        69 A   
  17.00 keV   9.836E+01  5.013E+02     236 A       101 A        72 A   
  18.00 keV   1.012E+02  4.989E+02     249 A       106 A        76 A   
  20.00 keV   1.067E+02  4.938E+02     274 A       115 A        82 A   
  22.50 keV   1.132E+02  4.869E+02     306 A       127 A        90 A   
  25.00 keV   1.193E+02  4.798E+02     338 A       139 A        98 A   
  27.50 keV   1.251E+02  4.725E+02     371 A       150 A       106 A   
  30.00 keV   1.307E+02  4.652E+02     404 A       162 A       114 A   
  32.50 keV   1.360E+02  4.580E+02     437 A       173 A       122 A   
  35.00 keV   1.411E+02  4.509E+02     470 A       185 A       130 A   
  37.50 keV   1.461E+02  4.440E+02     504 A       196 A       138 A   
  40.00 keV   1.509E+02  4.372E+02     537 A       207 A       146 A   
  45.00 keV   1.600E+02  4.242E+02     606 A       229 A       162 A   
  50.00 keV   1.687E+02  4.120E+02     675 A       251 A       178 A   
  55.00 keV   1.771E+02  4.004E+02     745 A       273 A       194 A   
  60.00 keV   1.862E+02  3.895E+02     816 A       295 A       210 A   
  65.00 keV   1.952E+02  3.793E+02     887 A       316 A       226 A   
  70.00 keV   2.040E+02  3.696E+02     959 A       336 A       242 A   
  80.00 keV   2.206E+02  3.519E+02    1103 A       377 A       274 A   
  90.00 keV   2.358E+02  3.360E+02    1249 A       416 A       306 A   
 100.00 keV   2.497E+02  3.218E+02    1396 A       455 A       338 A   
 110.00 keV   2.626E+02  3.089E+02    1544 A       492 A       370 A   
 120.00 keV   2.748E+02  2.971E+02    1693 A       528 A       402 A   
 130.00 keV   2.863E+02  2.864E+02    1842 A       563 A       433 A   
 140.00 keV   2.974E+02  2.765E+02    1992 A       597 A       464 A   
 150.00 keV   3.080E+02  2.674E+02    2142 A       631 A       495 A   
 160.00 keV   3.184E+02  2.590E+02    2292 A       663 A       525 A   
 170.00 keV   3.285E+02  2.512E+02    2442 A       694 A       555 A   
 180.00 keV   3.384E+02  2.440E+02    2592 A       725 A       585 A   
 200.00 keV   3.579E+02  2.308E+02    2891 A       784 A       644 A   
 225.00 keV   3.817E+02  2.166E+02    3263 A       854 A       715 A   
 250.00 keV   4.053E+02  2.042E+02    3631 A       919 A       784 A   
 275.00 keV   4.288E+02  1.934E+02    3994 A       980 A       850 A   
 300.00 keV   4.522E+02  1.838E+02    4351 A      1036 A       914 A   
 325.00 keV   4.756E+02  1.753E+02    4702 A      1089 A       975 A   
 350.00 keV   4.990E+02  1.677E+02    5046 A      1139 A      1034 A   
 375.00 keV   5.224E+02  1.607E+02    5383 A      1185 A      1090 A   
 400.00 keV   5.457E+02  1.545E+02    5714 A      1228 A      1144 A   
 450.00 keV   5.921E+02  1.434E+02    6354 A      1307 A      1245 A   
 500.00 keV   6.381E+02  1.341E+02    6968 A      1377 A      1338 A   
 550.00 keV   6.836E+02  1.260E+02    7556 A      1439 A      1423 A   
 600.00 keV   7.285E+02  1.190E+02    8120 A      1493 A      1502 A   
 650.00 keV   7.728E+02  1.128E+02    8662 A      1543 A      1574 A   
 700.00 keV   8.163E+02  1.073E+02    9183 A      1587 A      1641 A   
 800.00 keV   9.013E+02  9.795E+01    1.02 um     1665 A      1761 A   
 900.00 keV   9.834E+02  9.026E+01    1.11 um     1731 A      1865 A   
   1.00 MeV   1.063E+03  8.382E+01    1.20 um     1785 A      1956 A   
   1.10 MeV   1.139E+03  7.833E+01    1.28 um     1832 A      2036 A   
   1.20 MeV   1.213E+03  7.360E+01    1.35 um     1873 A      2108 A   
   1.30 MeV   1.285E+03  6.946E+01    1.43 um     1909 A      2172 A   
   1.40 MeV   1.355E+03  6.581E+01    1.50 um     1940 A      2230 A   
   1.50 MeV   1.422E+03  6.256E+01    1.56 um     1968 A      2283 A   
   1.60 MeV   1.488E+03  5.965E+01    1.63 um     1993 A      2332 A   
   1.70 MeV   1.552E+03  5.703E+01    1.69 um     2015 A      2376 A   
   1.80 MeV   1.614E+03  5.465E+01    1.75 um     2036 A      2417 A   
   2.00 MeV   1.733E+03  5.050E+01    1.86 um     2074 A      2490 A   
   2.25 MeV   1.875E+03  4.620E+01    2.00 um     2116 A      2569 A   
   2.50 MeV   2.008E+03  4.263E+01    2.12 um     2151 A      2636 A   
   2.75 MeV   2.134E+03  3.962E+01    2.24 um     2180 A      2694 A   
   3.00 MeV   2.253E+03  3.705E+01    2.35 um     2205 A      2745 A   
   3.25 MeV   2.365E+03  3.481E+01    2.45 um     2228 A      2791 A   
   3.50 MeV   2.471E+03  3.286E+01    2.55 um     2247 A      2831 A   
