        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 keV   4.192E+01  2.637E+00     400 A       261 A       216 A   
   3.00 keV   4.356E+01  2.537E+00     434 A       274 A       229 A   
   3.25 keV   4.515E+01  2.447E+00     467 A       286 A       240 A   
   3.50 keV   4.669E+01  2.363E+00     501 A       297 A       252 A   
   3.75 keV   4.817E+01  2.287E+00     534 A       308 A       263 A   
   4.00 keV   4.961E+01  2.216E+00     567 A       318 A       273 A   
   4.50 keV   5.236E+01  2.088E+00     631 A       337 A       293 A   
   5.00 keV   5.496E+01  1.977E+00     695 A       355 A       312 A   
   5.50 keV   5.743E+01  1.879E+00     757 A       371 A       330 A   
   6.00 keV   5.978E+01  1.792E+00     818 A       386 A       347 A   
   6.50 keV   6.204E+01  1.713E+00     878 A       401 A       363 A   
   7.00 keV   6.423E+01  1.643E+00     937 A       414 A       378 A   
   8.00 keV   6.839E+01  1.520E+00    1052 A       437 A       406 A   
   9.00 keV   7.234E+01  1.417E+00    1163 A       459 A       432 A   
  10.00 keV   7.610E+01  1.329E+00    1271 A       477 A       456 A   
  11.00 keV   7.969E+01  1.253E+00    1375 A       495 A       478 A   
  12.00 keV   8.312E+01  1.186E+00    1477 A       510 A       498 A   
  13.00 keV   8.640E+01  1.126E+00    1576 A       524 A       517 A   
  14.00 keV   8.952E+01  1.074E+00    1672 A       537 A       535 A   
  15.00 keV   9.250E+01  1.026E+00    1766 A       549 A       552 A   
  16.00 keV   9.534E+01  9.835E-01    1859 A       560 A       568 A   
  17.00 keV   9.805E+01  9.446E-01    1949 A       571 A       583 A   
  18.00 keV   1.006E+02  9.090E-01    2037 A       580 A       597 A   
  20.00 keV   1.054E+02  8.462E-01    2210 A       598 A       624 A   
  22.50 keV   1.109E+02  7.803E-01    2417 A       618 A       654 A   
  25.00 keV   1.157E+02  7.250E-01    2618 A       635 A       682 A   
  27.50 keV   1.200E+02  6.779E-01    2812 A       650 A       707 A   
  30.00 keV   1.239E+02  6.371E-01    3001 A       664 A       730 A   
  32.50 keV   1.274E+02  6.015E-01    3186 A       677 A       752 A   
  35.00 keV   1.305E+02  5.701E-01    3368 A       689 A       772 A   
  37.50 keV   1.332E+02  5.422E-01    3546 A       699 A       791 A   
  40.00 keV   1.357E+02  5.171E-01    3721 A       710 A       809 A   
  45.00 keV   1.398E+02  4.740E-01    4065 A       729 A       843 A   
  50.00 keV   1.431E+02  4.382E-01    4401 A       746 A       875 A   
  55.00 keV   1.456E+02  4.079E-01    4733 A       761 A       904 A   
  60.00 keV   1.475E+02  3.819E-01    5061 A       776 A       931 A   
  65.00 keV   1.488E+02  3.593E-01    5386 A       789 A       958 A   
  70.00 keV   1.497E+02  3.395E-01    5710 A       802 A       983 A   
  80.00 keV   1.504E+02  3.063E-01    6356 A       828 A      1030 A   
  90.00 keV   1.500E+02  2.795E-01    7004 A       852 A      1075 A   
 100.00 keV   1.487E+02  2.574E-01    7658 A       875 A      1118 A   
 110.00 keV   1.469E+02  2.388E-01    8320 A       897 A      1159 A   
 120.00 keV   1.447E+02  2.229E-01    8992 A       918 A      1200 A   
 130.00 keV   1.423E+02  2.092E-01    9675 A       939 A      1241 A   
 140.00 keV   1.396E+02  1.972E-01    1.04 um      960 A      1281 A   
 150.00 keV   1.370E+02  1.866E-01    1.11 um      981 A      1321 A   
 160.00 keV   1.342E+02  1.772E-01    1.18 um     1001 A      1361 A   
 170.00 keV   1.315E+02  1.687E-01    1.26 um     1022 A      1401 A   
 180.00 keV   1.289E+02  1.611E-01    1.33 um     1043 A      1442 A   
 200.00 keV   1.237E+02  1.479E-01    1.49 um     1095 A      1524 A   
