       Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 keV   4.724E+01  2.976E+02      66 A        37 A        27 A   
   3.00 keV   4.934E+01  3.004E+02      71 A        39 A        28 A   
   3.25 keV   5.135E+01  3.028E+02      75 A        41 A        30 A   
   3.50 keV   5.329E+01  3.048E+02      80 A        44 A        32 A   
   3.75 keV   5.516E+01  3.064E+02      84 A        46 A        33 A   
   4.00 keV   5.697E+01  3.078E+02      89 A        48 A        35 A   
   4.50 keV   6.043E+01  3.097E+02      98 A        52 A        38 A   
   5.00 keV   6.370E+01  3.110E+02     107 A        56 A        41 A   
   5.50 keV   6.681E+01  3.116E+02     116 A        60 A        43 A   
   6.00 keV   6.978E+01  3.118E+02     125 A        65 A        46 A   
   6.50 keV   7.263E+01  3.116E+02     134 A        69 A        49 A   
   7.00 keV   7.537E+01  3.112E+02     142 A        73 A        52 A   
   8.00 keV   8.057E+01  3.096E+02     160 A        80 A        57 A   
   9.00 keV   8.546E+01  3.074E+02     178 A        88 A        63 A   
  10.00 keV   9.008E+01  3.048E+02     196 A        96 A        68 A   
  11.00 keV   9.448E+01  3.019E+02     214 A       103 A        74 A   
  12.00 keV   9.868E+01  2.989E+02     232 A       111 A        79 A   
  13.00 keV   1.027E+02  2.957E+02     250 A       118 A        84 A   
  14.00 keV   1.066E+02  2.925E+02     268 A       126 A        89 A   
  15.00 keV   1.103E+02  2.893E+02     286 A       133 A        94 A   
  16.00 keV   1.139E+02  2.861E+02     305 A       140 A        99 A   
  17.00 keV   1.175E+02  2.828E+02     323 A       148 A       105 A   
  18.00 keV   1.209E+02  2.796E+02     342 A       155 A       110 A   
  20.00 keV   1.274E+02  2.734E+02     379 A       169 A       120 A   
  22.50 keV   1.351E+02  2.658E+02     426 A       186 A       132 A   
  25.00 keV   1.424E+02  2.587E+02     473 A       203 A       145 A   
  27.50 keV   1.494E+02  2.519E+02     521 A       220 A       157 A   
  30.00 keV   1.560E+02  2.454E+02     568 A       236 A       170 A   
  32.50 keV   1.624E+02  2.393E+02     617 A       253 A       182 A   
  35.00 keV   1.685E+02  2.336E+02     665 A       268 A       195 A   
  37.50 keV   1.744E+02  2.281E+02     714 A       284 A       207 A   
  40.00 keV   1.917E+02  2.229E+02     762 A       299 A       219 A   
  45.00 keV   2.200E+02  2.133E+02     856 A       326 A       244 A   
  50.00 keV   2.371E+02  2.046E+02     947 A       352 A       267 A   
  55.00 keV   2.475E+02  1.968E+02    1038 A       377 A       290 A   
  60.00 keV   2.543E+02  1.896E+02    1130 A       401 A       312 A   
  65.00 keV   2.592E+02  1.830E+02    1223 A       424 A       334 A   
  70.00 keV   2.630E+02  1.769E+02    1317 A       448 A       355 A   
  80.00 keV   2.703E+02  1.660E+02    1508 A       494 A       396 A   
  90.00 keV   2.784E+02  1.567E+02    1702 A       539 A       437 A   
 100.00 keV   2.880E+02  1.485E+02    1898 A       582 A       477 A   
