        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 keV   3.359E+01  4.033E+02      57 A        30 A        22 A   
   3.00 keV   3.508E+01  4.092E+02      61 A        32 A        23 A   
   3.25 keV   3.651E+01  4.143E+02      64 A        34 A        25 A   
   3.50 keV   3.789E+01  4.189E+02      68 A        36 A        26 A   
   3.75 keV   3.922E+01  4.229E+02      72 A        37 A        27 A   
   4.00 keV   4.051E+01  4.264E+02      75 A        39 A        28 A   
   4.50 keV   4.296E+01  4.323E+02      83 A        42 A        31 A   
   5.00 keV   4.529E+01  4.370E+02      90 A        45 A        33 A   
   5.50 keV   4.750E+01  4.407E+02      97 A        48 A        35 A   
   6.00 keV   4.961E+01  4.436E+02     104 A        52 A        37 A   
   6.50 keV   5.164E+01  4.459E+02     111 A        55 A        39 A   
   7.00 keV   5.359E+01  4.476E+02     118 A        58 A        42 A   
   8.00 keV   5.728E+01  4.497E+02     132 A        64 A        46 A   
   9.00 keV   6.076E+01  4.506E+02     146 A        70 A        50 A   
  10.00 keV   6.405E+01  4.504E+02     160 A        76 A        54 A   
  11.00 keV   6.717E+01  4.496E+02     174 A        81 A        58 A   
  12.00 keV   7.016E+01  4.482E+02     188 A        87 A        62 A   
  13.00 keV   7.302E+01  4.465E+02     202 A        93 A        66 A   
  14.00 keV   7.578E+01  4.444E+02     216 A        99 A        70 A   
  15.00 keV   7.844E+01  4.420E+02     230 A       104 A        74 A   
  16.00 keV   8.101E+01  4.395E+02     244 A       110 A        78 A   
  17.00 keV   8.351E+01  4.368E+02     258 A       116 A        82 A   
  18.00 keV   8.593E+01  4.340E+02     273 A       121 A        85 A   
  20.00 keV   9.058E+01  4.282E+02     301 A       133 A        93 A   
  22.50 keV   9.607E+01  4.208E+02     338 A       147 A       103 A   
  25.00 keV   1.013E+02  4.133E+02     375 A       161 A       112 A   
  27.50 keV   1.062E+02  4.058E+02     412 A       174 A       122 A   
  30.00 keV   1.109E+02  3.985E+02     450 A       188 A       131 A   
  32.50 keV   1.155E+02  3.913E+02     488 A       202 A       141 A   
  35.00 keV   1.198E+02  3.844E+02     526 A       215 A       150 A   
  37.50 keV   1.240E+02  3.777E+02     565 A       229 A       160 A   
  40.00 keV   1.281E+02  3.712E+02     604 A       243 A       169 A   
  45.00 keV   1.359E+02  3.588E+02     683 A       269 A       189 A   
  50.00 keV   1.479E+02  3.473E+02     763 A       296 A       208 A   
  55.00 keV   1.636E+02  3.366E+02     844 A       321 A       228 A   
  60.00 keV   1.759E+02  3.265E+02     924 A       346 A       247 A   
  65.00 keV   1.858E+02  3.172E+02    1004 A       370 A       267 A   
  70.00 keV   1.939E+02  3.084E+02    1084 A       393 A       286 A   
  80.00 keV   2.066E+02  2.925E+02    1248 A       440 A       325 A   
  90.00 keV   2.165E+02  2.784E+02    1414 A       485 A       363 A   
 100.00 keV   2.251E+02  2.658E+02    1582 A       530 A       400 A   
 110.00 keV   2.331E+02  2.545E+02    1754 A       574 A       438 A   
