        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 keV   6.090E+01  6.303E+02      49 A        22 A        16 A   
   3.25 keV   6.338E+01  6.429E+02      52 A        23 A        17 A   
   3.50 keV   6.578E+01  6.544E+02      54 A        24 A        18 A   
   3.75 keV   6.808E+01  6.649E+02      57 A        25 A        19 A   
   4.00 keV   7.032E+01  6.746E+02      59 A        26 A        19 A   
   4.50 keV   7.458E+01  6.919E+02      64 A        28 A        21 A   
   5.00 keV   7.862E+01  7.069E+02      69 A        30 A        22 A   
   5.50 keV   8.245E+01  7.199E+02      74 A        31 A        23 A   
   6.00 keV   8.612E+01  7.313E+02      79 A        33 A        25 A   
   6.50 keV   8.964E+01  7.413E+02      83 A        35 A        26 A   
   7.00 keV   9.302E+01  7.503E+02      88 A        36 A        27 A   
   8.00 keV   9.944E+01  7.653E+02      97 A        40 A        30 A   
   9.00 keV   1.055E+02  7.774E+02     105 A        43 A        32 A   
  10.00 keV   1.112E+02  7.872E+02     114 A        46 A        34 A   
  11.00 keV   1.166E+02  7.951E+02     123 A        49 A        36 A   
  12.00 keV   1.218E+02  8.015E+02     131 A        52 A        39 A   
  13.00 keV   1.268E+02  8.066E+02     139 A        54 A        41 A   
  14.00 keV   1.316E+02  8.108E+02     148 A        57 A        43 A   
  15.00 keV   1.362E+02  8.141E+02     156 A        60 A        45 A   
  16.00 keV   1.406E+02  8.167E+02     164 A        63 A        47 A   
  17.00 keV   1.450E+02  8.186E+02     173 A        66 A        49 A   
  18.00 keV   1.492E+02  8.200E+02     181 A        68 A        51 A   
  20.00 keV   1.572E+02  8.215E+02     197 A        74 A        55 A   
  22.50 keV   1.668E+02  8.213E+02     217 A        80 A        60 A   
  25.00 keV   1.758E+02  8.196E+02     238 A        87 A        64 A   
  27.50 keV   1.844E+02  8.166E+02     258 A        93 A        69 A   
  30.00 keV   1.926E+02  8.128E+02     278 A        99 A        74 A   
  32.50 keV   2.004E+02  8.084E+02     298 A       106 A        78 A   
  35.00 keV   2.080E+02  8.034E+02     319 A       112 A        83 A   
  37.50 keV   2.153E+02  7.981E+02     339 A       118 A        87 A   
  40.00 keV   2.224E+02  7.925E+02     359 A       124 A        92 A   
  45.00 keV   2.359E+02  7.807E+02     400 A       136 A       100 A   
  50.00 keV   2.486E+02  7.686E+02     441 A       148 A       109 A   
  55.00 keV   2.607E+02  7.564E+02     482 A       160 A       118 A   
  60.00 keV   2.723E+02  7.442E+02     523 A       171 A       126 A   
  65.00 keV   2.835E+02  7.323E+02     564 A       183 A       134 A   
  70.00 keV   2.942E+02  7.205E+02     606 A       194 A       143 A   
  80.00 keV   3.178E+02  6.978E+02     690 A       217 A       160 A   
  90.00 keV   3.491E+02  6.764E+02     774 A       238 A       176 A   
 100.00 keV   3.745E+02  6.562E+02     857 A       259 A       193 A   
 110.00 keV   3.957E+02  6.373E+02     941 A       279 A       209 A   
 120.00 keV   4.138E+02  6.195E+02    1025 A       299 A       225 A   
 130.00 keV   4.298E+02  6.029E+02    1109 A       318 A       241 A   
 140.00 keV   4.441E+02  5.871E+02    1194 A       337 A       257 A   
 150.00 keV   4.573E+02  5.724E+02    1279 A       356 A       272 A   
 160.00 keV   4.696E+02  5.584E+02    1365 A       375 A       288 A   
 170.00 keV   4.812E+02  5.452E+02    1451 A       393 A       303 A   
 180.00 keV   4.923E+02  5.327E+02    1537 A       411 A       319 A   
 200.00 keV   5.132E+02  5.097E+02    1711 A       446 A       349 A   
 225.00 keV   5.379E+02  4.840E+02    1929 A       488 A       387 A   
 250.00 keV   5.613E+02  4.612E+02    2149 A       529 A       424 A   
 275.00 keV   5.840E+02  4.408E+02    2370 A       569 A       461 A   
 300.00 keV   6.062E+02  4.224E+02    2590 A       607 A       497 A   
 325.00 keV   6.281E+02  4.057E+02    2811 A       643 A       533 A   
 350.00 keV   6.496E+02  3.905E+02    3031 A       678 A       568 A   
 375.00 keV   6.710E+02  3.766E+02    3250 A       712 A       603 A   
 400.00 keV   6.921E+02  3.638E+02    3468 A       745 A       637 A   
 450.00 keV   7.341E+02  3.411E+02    3901 A       807 A       703 A   
 500.00 keV   7.757E+02  3.214E+02    4327 A       865 A       767 A   
 550.00 keV   8.169E+02  3.042E+02    4746 A       919 A       828 A   
 600.00 keV   8.578E+02  2.890E+02    5158 A       968 A       887 A   
 650.00 keV   8.983E+02  2.755E+02    5561 A      1014 A       943 A   
 700.00 keV   9.384E+02  2.634E+02    5957 A      1057 A       996 A   
 800.00 keV   1.018E+03  2.425E+02    6723 A      1137 A      1097 A   
 900.00 keV   1.096E+03  2.251E+02    7457 A      1206 A      1189 A   
   1.00 MeV   1.172E+03  2.103E+02    8162 A      1268 A      1273 A   
   1.10 MeV   1.247E+03  1.975E+02    8837 A      1322 A      1350 A   
   1.20 MeV   1.321E+03  1.865E+02    9487 A      1370 A      1421 A   
   1.30 MeV   1.393E+03  1.767E+02    1.01 um     1413 A      1487 A   
   1.40 MeV   1.463E+03  1.680E+02    1.07 um     1452 A      1548 A   
   1.50 MeV   1.533E+03  1.603E+02    1.13 um     1488 A      1604 A   
   1.60 MeV   1.601E+03  1.533E+02    1.19 um     1520 A      1657 A   
   1.70 MeV   1.667E+03  1.470E+02    1.24 um     1549 A      1706 A   
   1.80 MeV   1.733E+03  1.412E+02    1.29 um     1576 A      1752 A   
   2.00 MeV   1.860E+03  1.311E+02    1.39 um     1627 A      1836 A   
   2.25 MeV   2.013E+03  1.205E+02    1.51 um     1682 A      1927 A   
   2.50 MeV   2.159E+03  1.117E+02    1.62 um     1728 A      2007 A   
   2.75 MeV   2.299E+03  1.042E+02    1.73 um     1768 A      2077 A   
   3.00 MeV   2.434E+03  9.770E+01    1.83 um     1802 A      2140 A   
   3.25 MeV   2.563E+03  9.208E+01    1.92 um     1832 A      2196 A   
   3.50 MeV   2.687E+03  8.713E+01    2.01 um     1859 A      2247 A   
   3.75 MeV   2.806E+03  8.273E+01    2.10 um     1883 A      2293 A   
   4.00 MeV   2.921E+03  7.880E+01    2.18 um     1904 A      2336 A   
   4.50 MeV   3.138E+03  7.207E+01    2.34 um     1948 A      2411 A   
   5.00 MeV   3.340E+03  6.648E+01    2.49 um     1985 A      2475 A   
   5.50 MeV   3.526E+03  6.178E+01    2.63 um     2016 A      2531 A   
   6.00 MeV   3.700E+03  5.775E+01    2.77 um     2044 A      2581 A   
