       Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 keV   5.658E+01  2.498E+02      70 A        41 A        30 A   
   3.00 keV   5.910E+01  2.515E+02      75 A        44 A        32 A   
   3.25 keV   6.151E+01  2.529E+02      80 A        46 A        33 A   
   3.50 keV   6.383E+01  2.540E+02      85 A        49 A        35 A   
   3.75 keV   6.607E+01  2.548E+02      90 A        51 A        37 A   
   4.00 keV   6.824E+01  2.554E+02      95 A        53 A        39 A   
   4.50 keV   7.238E+01  2.560E+02     105 A        58 A        42 A   
   5.00 keV   7.629E+01  2.561E+02     115 A        63 A        45 A   
   5.50 keV   8.002E+01  2.558E+02     125 A        68 A        49 A   
   6.00 keV   8.357E+01  2.551E+02     135 A        72 A        52 A   
   6.50 keV   8.699E+01  2.542E+02     144 A        77 A        55 A   
   7.00 keV   9.027E+01  2.531E+02     154 A        81 A        58 A   
   8.00 keV   9.650E+01  2.506E+02     174 A        90 A        65 A   
   9.00 keV   1.024E+02  2.477E+02     194 A        99 A        71 A   
  10.00 keV   1.079E+02  2.445E+02     213 A       107 A        77 A   
  11.00 keV   1.132E+02  2.413E+02     233 A       116 A        83 A   
  12.00 keV   1.182E+02  2.380E+02     253 A       124 A        89 A   
  13.00 keV   1.230E+02  2.347E+02     273 A       132 A        95 A   
  14.00 keV   1.277E+02  2.314E+02     293 A       140 A       101 A   
  15.00 keV   1.321E+02  2.282E+02     313 A       148 A       107 A   
  16.00 keV   1.365E+02  2.250E+02     333 A       156 A       112 A   
  17.00 keV   1.407E+02  2.219E+02     353 A       164 A       118 A   
  18.00 keV   1.448E+02  2.189E+02     373 A       172 A       124 A   
  20.00 keV   1.526E+02  2.130E+02     414 A       187 A       135 A   
  22.50 keV   1.618E+02  2.061E+02     465 A       205 A       149 A   
  25.00 keV   1.706E+02  1.997E+02     516 A       223 A       163 A   
  27.50 keV   1.789E+02  1.936E+02     567 A       240 A       177 A   
  30.00 keV   1.869E+02  1.880E+02     619 A       257 A       191 A   
  32.50 keV   1.948E+02  1.827E+02     670 A       273 A       204 A   
  35.00 keV   2.032E+02  1.778E+02     722 A       289 A       217 A   
  37.50 keV   2.109E+02  1.732E+02     773 A       305 A       231 A   
  40.00 keV   2.180E+02  1.688E+02     824 A       320 A       244 A   
