        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 keV   3.944E+01  6.329E+02      50 A        23 A        17 A   
   3.25 keV   4.105E+01  6.456E+02      53 A        24 A        18 A   
   3.50 keV   4.260E+01  6.571E+02      55 A        25 A        18 A   
   3.75 keV   4.410E+01  6.677E+02      58 A        26 A        19 A   
   4.00 keV   4.555E+01  6.775E+02      60 A        27 A        20 A   
   4.50 keV   4.831E+01  6.949E+02      66 A        29 A        21 A   
   5.00 keV   5.092E+01  7.099E+02      70 A        31 A        23 A   
   5.50 keV   5.341E+01  7.230E+02      75 A        32 A        24 A   
   6.00 keV   5.578E+01  7.345E+02      80 A        34 A        25 A   
   6.50 keV   5.806E+01  7.446E+02      85 A        36 A        27 A   
   7.00 keV   6.026E+01  7.536E+02      89 A        38 A        28 A   
   8.00 keV   6.442E+01  7.687E+02      99 A        41 A        31 A   
   9.00 keV   6.833E+01  7.809E+02     108 A        44 A        33 A   
  10.00 keV   7.202E+01  7.907E+02     117 A        47 A        35 A   
  11.00 keV   7.554E+01  7.987E+02     125 A        51 A        38 A   
  12.00 keV   7.890E+01  8.051E+02     134 A        54 A        40 A   
  13.00 keV   8.212E+01  8.104E+02     143 A        57 A        42 A   
  14.00 keV   8.522E+01  8.145E+02     152 A        60 A        44 A   
  15.00 keV   8.821E+01  8.179E+02     160 A        63 A        47 A   
  16.00 keV   9.111E+01  8.205E+02     169 A        66 A        49 A   
  17.00 keV   9.391E+01  8.224E+02     177 A        69 A        51 A   
  18.00 keV   9.664E+01  8.239E+02     186 A        71 A        53 A   
  20.00 keV   1.019E+02  8.254E+02     203 A        77 A        57 A   
  22.50 keV   1.080E+02  8.253E+02     224 A        84 A        62 A   
  25.00 keV   1.139E+02  8.235E+02     246 A        91 A        67 A   
  27.50 keV   1.195E+02  8.206E+02     267 A        98 A        72 A   
