        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 keV   3.671E+01  2.507E+02      72 A        43 A        31 A   
   3.00 keV   3.834E+01  2.525E+02      78 A        46 A        33 A   
   3.25 keV   3.991E+01  2.538E+02      83 A        49 A        35 A   
   3.50 keV   4.141E+01  2.549E+02      88 A        51 A        37 A   
   3.75 keV   4.287E+01  2.557E+02      93 A        54 A        39 A   
   4.00 keV   4.427E+01  2.563E+02      99 A        57 A        41 A   
   4.50 keV   4.696E+01  2.570E+02     109 A        62 A        44 A   
   5.00 keV   4.950E+01  2.570E+02     120 A        67 A        48 A   
   5.50 keV   5.192E+01  2.567E+02     130 A        73 A        52 A   
   6.00 keV   5.423E+01  2.561E+02     141 A        78 A        55 A   
   6.50 keV   5.644E+01  2.552E+02     151 A        83 A        59 A   
   7.00 keV   5.857E+01  2.541E+02     162 A        88 A        62 A   
   8.00 keV   6.262E+01  2.515E+02     183 A        98 A        69 A   
   9.00 keV   6.642E+01  2.486E+02     204 A       108 A        76 A   
  10.00 keV   7.002E+01  2.454E+02     226 A       118 A        83 A   
  11.00 keV   7.343E+01  2.422E+02     247 A       127 A        90 A   
  12.00 keV   7.670E+01  2.389E+02     269 A       137 A        97 A   
  13.00 keV   7.984E+01  2.356E+02     291 A       147 A       103 A   
  14.00 keV   8.285E+01  2.323E+02     313 A       156 A       110 A   
  15.00 keV   8.576E+01  2.290E+02     336 A       166 A       117 A   
  16.00 keV   8.857E+01  2.259E+02     358 A       175 A       124 A   
  17.00 keV   9.130E+01  2.227E+02     381 A       185 A       130 A   
  18.00 keV   9.395E+01  2.197E+02     404 A       194 A       137 A   
  20.00 keV   9.904E+01  2.138E+02     450 A       213 A       150 A   
  22.50 keV   1.050E+02  2.069E+02     508 A       235 A       167 A   
  25.00 keV   1.107E+02  2.004E+02     567 A       258 A       184 A   
  27.50 keV   1.161E+02  1.944E+02     627 A       280 A       201 A   
  30.00 keV   1.213E+02  1.887E+02     687 A       302 A       218 A   
  32.50 keV   1.264E+02  1.834E+02     747 A       323 A       235 A   
  35.00 keV   1.319E+02  1.785E+02     809 A       345 A       252 A   
  37.50 keV   1.369E+02  1.738E+02     870 A       365 A       268 A   
  40.00 keV   1.415E+02  1.694E+02     932 A       386 A       285 A   
  45.00 keV   1.499E+02  1.614E+02    1056 A       425 A       318 A   
  50.00 keV   1.573E+02  1.542E+02    1182 A       464 A       352 A   
  55.00 keV   1.639E+02  1.478E+02    1308 A       502 A       384 A   
  60.00 keV   1.701E+02  1.419E+02    1436 A       539 A       417 A   
  65.00 keV   1.759E+02  1.366E+02    1564 A       575 A       449 A   
  70.00 keV   1.814E+02  1.317E+02    1693 A       610 A       481 A   
  80.00 keV   1.915E+02  1.231E+02    1953 A       678 A       544 A   
  90.00 keV   2.010E+02  1.157E+02    2214 A       742 A       606 A   
 100.00 keV   2.098E+02  1.093E+02    2476 A       804 A       666 A   
 110.00 keV   2.182E+02  1.036E+02    2738 A       863 A       726 A   
 120.00 keV   2.262E+02  9.864E+01    2999 A       919 A       784 A   
 130.00 keV   2.339E+02  9.417E+01    3260 A       973 A       840 A   
 140.00 keV   2.415E+02  9.016E+01    3520 A      1025 A       896 A   
 150.00 keV   2.489E+02  8.652E+01    3778 A      1074 A       950 A   
 160.00 keV   2.562E+02  8.320E+01    4035 A      1122 A      1002 A   
 170.00 keV   2.633E+02  8.017E+01    4290 A      1167 A      1054 A   
 180.00 keV   2.704E+02  7.738E+01    4543 A      1211 A      1104 A   
 200.00 keV   2.844E+02  7.243E+01    5044 A      1294 A      1201 A   
 225.00 keV   3.017E+02  6.717E+01    5656 A      1388 A      1315 A   
 250.00 keV   3.188E+02  6.272E+01    6253 A      1474 A      1422 A   
 275.00 keV   3.359E+02  5.889E+01    6834 A      1552 A      1522 A   
 300.00 keV   3.528E+02  5.556E+01    7400 A      1623 A      1616 A   
 325.00 keV   3.697E+02  5.263E+01    7950 A      1688 A      1705 A   
 350.00 keV   3.865E+02  5.003E+01    8484 A      1748 A      1788 A   
 375.00 keV   4.033E+02  4.770E+01    9004 A      1802 A      1866 A   
 400.00 keV   4.200E+02  4.561E+01    9509 A      1852 A      1940 A   
 450.00 keV   4.532E+02  4.199E+01    1.05 um     1944 A      2075 A   
 500.00 keV   4.859E+02  3.896E+01    1.14 um     2022 A      2195 A   
 550.00 keV   5.182E+02  3.638E+01    1.23 um     2090 A      2304 A   
 600.00 keV   5.501E+02  3.415E+01    1.31 um     2150 A      2402 A   
 650.00 keV   5.814E+02  3.222E+01    1.39 um     2202 A      2490 A   
 700.00 keV   6.121E+02  3.051E+01    1.47 um     2249 A      2571 A   
 800.00 keV   6.716E+02  2.763E+01    1.61 um     2332 A      2714 A   
 900.00 keV   7.287E+02  2.529E+01    1.74 um     2400 A      2835 A   
   1.00 MeV   7.831E+02  2.336E+01    1.87 um     2456 A      2939 A   
   1.10 MeV   8.350E+02  2.172E+01    1.98 um     2504 A      3031 A   
   1.20 MeV   8.843E+02  2.032E+01    2.09 um     2546 A      3112 A   
   1.30 MeV   9.313E+02  1.910E+01    2.20 um     2582 A      3184 A   
   1.40 MeV   9.758E+02  1.804E+01    2.30 um     2614 A      3249 A   
   1.50 MeV   1.018E+03  1.710E+01    2.40 um     2642 A      3308 A   
   1.60 MeV   1.058E+03  1.626E+01    2.49 um     2668 A      3362 A   
   1.70 MeV   1.097E+03  1.550E+01    2.58 um     2691 A      3412 A   
   1.80 MeV   1.133E+03  1.482E+01    2.67 um     2712 A      3457 A   
   2.00 MeV   1.200E+03  1.364E+01    2.83 um     2754 A      3539 A   
