        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 keV   2.165E+01  4.067E+02      58 A        31 A        22 A   
   3.00 keV   2.261E+01  4.126E+02      61 A        33 A        24 A   
   3.25 keV   2.353E+01  4.179E+02      65 A        34 A        25 A   
   3.50 keV   2.442E+01  4.225E+02      69 A        36 A        26 A   
   3.75 keV   2.528E+01  4.265E+02      73 A        38 A        27 A   
   4.00 keV   2.611E+01  4.301E+02      76 A        40 A        29 A   
   4.50 keV   2.769E+01  4.362E+02      84 A        43 A        31 A   
   5.00 keV   2.919E+01  4.409E+02      91 A        46 A        33 A   
   5.50 keV   3.062E+01  4.447E+02      98 A        50 A        36 A   
   6.00 keV   3.198E+01  4.477E+02     106 A        53 A        38 A   
   6.50 keV   3.329E+01  4.500E+02     113 A        56 A        40 A   
   7.00 keV   3.454E+01  4.518E+02     120 A        59 A        42 A   
   8.00 keV   3.693E+01  4.540E+02     134 A        65 A        47 A   
   9.00 keV   3.917E+01  4.549E+02     149 A        72 A        51 A   
  10.00 keV   4.129E+01  4.548E+02     163 A        78 A        55 A   
  11.00 keV   4.330E+01  4.541E+02     177 A        84 A        59 A   
  12.00 keV   4.523E+01  4.527E+02     192 A        90 A        64 A   
  13.00 keV   4.708E+01  4.510E+02     206 A        96 A        68 A   
  14.00 keV   4.886E+01  4.489E+02     221 A       102 A        72 A   
  15.00 keV   5.057E+01  4.466E+02     236 A       108 A        76 A   
  16.00 keV   5.223E+01  4.440E+02     250 A       114 A        80 A   
  17.00 keV   5.384E+01  4.414E+02     265 A       120 A        84 A   
  18.00 keV   5.540E+01  4.386E+02     280 A       127 A        88 A   
  20.00 keV   5.840E+01  4.328E+02     310 A       139 A        96 A   
  22.50 keV   6.195E+01  4.253E+02     349 A       154 A       106 A   
  25.00 keV   6.530E+01  4.178E+02     387 A       169 A       116 A   
  27.50 keV   6.849E+01  4.103E+02     427 A       184 A       126 A   
  30.00 keV   7.153E+01  4.030E+02     467 A       199 A       137 A   
  32.50 keV   7.446E+01  3.958E+02     507 A       215 A       147 A   
  35.00 keV   7.727E+01  3.888E+02     549 A       230 A       157 A   
  37.50 keV   7.999E+01  3.821E+02     590 A       245 A       168 A   
  40.00 keV   8.261E+01  3.755E+02     632 A       260 A       178 A   
  45.00 keV   8.763E+01  3.631E+02     718 A       291 A       199 A   
  50.00 keV   9.447E+01  3.515E+02     806 A       321 A       221 A   
  55.00 keV   1.049E+02  3.407E+02     894 A       351 A       243 A   
  60.00 keV   1.131E+02  3.306E+02     984 A       380 A       265 A   
  65.00 keV   1.197E+02  3.211E+02    1074 A       409 A       287 A   
  70.00 keV   1.250E+02  3.123E+02    1165 A       438 A       309 A   
  80.00 keV   1.334E+02  2.962E+02    1351 A       495 A       354 A   
  90.00 keV   1.399E+02  2.820E+02    1542 A       552 A       399 A   
 100.00 keV   1.455E+02  2.693E+02    1738 A       609 A       445 A   
 110.00 keV   1.507E+02  2.579E+02    1938 A       666 A       491 A   
 120.00 keV   1.557E+02  2.475E+02    2143 A       722 A       537 A   
 130.00 keV   1.607E+02  2.381E+02    2350 A       778 A       584 A   
 140.00 keV   1.658E+02  2.295E+02    2561 A       833 A       631 A   
 150.00 keV   1.710E+02  2.216E+02    2774 A       887 A       679 A   
 160.00 keV   1.763E+02  2.143E+02    2989 A       941 A       727 A   
 170.00 keV   1.818E+02  2.076E+02    3206 A       994 A       774 A   
 180.00 keV   1.874E+02  2.014E+02    3424 A      1046 A       822 A   
 200.00 keV   1.990E+02  1.901E+02    3863 A      1147 A       918 A   
 225.00 keV   2.141E+02  1.779E+02    4413 A      1267 A      1037 A   
 250.00 keV   2.297E+02  1.674E+02    4960 A      1381 A      1154 A   
 275.00 keV   2.457E+02  1.583E+02    5503 A      1488 A      1268 A   
 300.00 keV   2.620E+02  1.502E+02    6039 A      1589 A      1379 A   
 325.00 keV   2.785E+02  1.430E+02    6566 A      1683 A      1486 A   
 350.00 keV   2.951E+02  1.366E+02    7084 A      1771 A      1589 A   
 375.00 keV   3.117E+02  1.308E+02    7591 A      1853 A      1688 A   
 400.00 keV   3.284E+02  1.256E+02    8089 A      1930 A      1783 A   
 450.00 keV   3.616E+02  1.164E+02    9052 A      2071 A      1961 A   
 500.00 keV   3.947E+02  1.087E+02    9973 A      2195 A      2125 A   
 550.00 keV   4.273E+02  1.020E+02    1.09 um     2305 A      2275 A   
 600.00 keV   4.596E+02  9.619E+01    1.17 um     2402 A      2413 A   
 650.00 keV   4.913E+02  9.109E+01    1.25 um     2489 A      2540 A   
 700.00 keV   5.226E+02  8.657E+01    1.33 um     2567 A      2656 A   
 800.00 keV   5.837E+02  7.889E+01    1.48 um     2704 A      2865 A   
 900.00 keV   6.429E+02  7.260E+01    1.61 um     2817 A      3044 A   
   1.00 MeV   7.001E+02  6.734E+01    1.74 um     2912 A      3201 A   
   1.10 MeV   7.556E+02  6.287E+01    1.86 um     2993 A      3338 A   
   1.20 MeV   8.095E+02  5.901E+01    1.97 um     3062 A      3461 A   
   1.30 MeV   8.618E+02  5.565E+01    2.08 um     3122 A      3570 A   
   1.40 MeV   9.125E+02  5.269E+01    2.18 um     3175 A      3668 A   
   1.50 MeV   9.619E+02  5.006E+01    2.28 um     3222 A      3757 A   
   1.60 MeV   1.010E+03  4.770E+01    2.37 um     3264 A      3838 A   
   1.70 MeV   1.057E+03  4.558E+01    2.46 um     3301 A      3913 A   
   1.80 MeV   1.103E+03  4.366E+01    2.55 um     3335 A      3981 A   
   2.00 MeV   1.190E+03  4.031E+01    2.71 um     3397 A      4102 A   
   2.25 MeV   1.295E+03  3.684E+01    2.90 um     3464 A      4231 A   
   2.50 MeV   1.393E+03  3.397E+01    3.08 um     3518 A      4341 A   
   2.75 MeV   1.486E+03  3.155E+01    3.25 um     3564 A      4435 A   
   3.00 MeV   1.574E+03  2.948E+01    3.40 um     3604 A      4518 A   
   3.25 MeV   1.657E+03  2.769E+01    3.55 um     3638 A      4591 A   
   3.50 MeV   1.737E+03  2.612E+01    3.70 um     3668 A      4657 A   
   3.75 MeV   1.812E+03  2.473E+01    3.83 um     3695 A      4715 A   
   4.00 MeV   1.884E+03  2.350E+01    3.97 um     3719 A      4769 A   
   4.50 MeV   2.018E+03  2.139E+01    4.22 um     3768 A      4863 A   
   5.00 MeV   2.142E+03  1.966E+01    4.45 um     3810 A      4942 A   
   5.50 MeV   2.257E+03  1.821E+01    4.68 um     3846 A      5011 A   
   6.00 MeV   2.364E+03  1.697E+01    4.89 um     3877 A      5072 A   
   6.50 MeV   2.465E+03  1.590E+01    5.09 um     3905 A      5126 A   
   7.00 MeV   2.561E+03  1.497E+01    5.29 um     3930 A      5175 A   
   8.00 MeV   2.739E+03  1.342E+01    5.66 um     3990 A      5259 A   
   9.00 MeV   2.899E+03  1.219E+01    6.02 um     4042 A      5330 A   
  10.00 MeV   3.041E+03  1.117E+01    6.35 um     4086 A      5390 A   
  11.00 MeV   3.165E+03  1.032E+01    6.67 um     4126 A      5444 A   
  12.00 MeV   3.270E+03  9.603E+00    6.98 um     4162 A      5491 A   
  13.00 MeV   3.357E+03  8.983E+00    7.28 um     4195 A      5534 A   
  14.00 MeV   3.425E+03  8.444E+00    7.57 um     4226 A      5573 A   
  15.00 MeV   3.478E+03  7.969E+00    7.86 um     4255 A      5610 A   
  16.00 MeV   3.518E+03  7.549E+00    8.15 um     4283 A      5644 A   
  17.00 MeV   3.545E+03  7.174E+00    8.43 um     4309 A      5675 A   
  18.00 MeV   3.563E+03  6.837E+00    8.71 um     4335 A      5706 A   
  20.00 MeV   3.576E+03  6.255E+00    9.27 um     4421 A      5762 A   
  22.50 MeV   3.563E+03  5.661E+00    9.97 um     4546 A      5827 A   
  25.00 MeV   3.530E+03  5.176E+00   10.67 um     4669 A      5887 A   
  27.50 MeV   3.487E+03  4.772E+00   11.38 um     4790 A      5944 A   
