# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
3.749989999999999574e-02 2.528000000000000025e+00 8.282999999999999829e+01 5.000000000000000104e-04
3.999989999999999796e-02 2.611000000000000210e+00 8.565999999999999659e+01 5.000000000000000104e-04
4.499989999999999546e-02 2.769000000000000128e+00 9.103000000000000114e+01 5.000000000000000104e-04
4.999989999999999990e-02 2.919000000000000039e+00 9.604999999999999716e+01 6.000000000000000559e-04
5.499989999999999740e-02 3.060999999999999943e+00 1.007999999999999972e+02 6.000000000000000559e-04
5.999989999999999490e-02 3.197000000000000064e+00 1.052999999999999972e+02 6.000000000000000559e-04
6.499989999999999934e-02 3.327999999999999847e+00 1.095000000000000000e+02 6.000000000000000559e-04
6.999990000000000379e-02 3.452999999999999847e+00 1.135999999999999943e+02 6.999999999999999929e-04
7.999989999999999879e-02 3.692000000000000171e+00 1.210999999999999943e+02 6.999999999999999929e-04
8.999989999999999379e-02 3.915999999999999925e+00 1.280999999999999943e+02 8.000000000000000383e-04
9.999990000000000268e-02 4.128000000000000114e+00 1.345999999999999943e+02 8.000000000000000383e-04
1.100000000000000006e-01 4.328999999999999737e+00 1.406999999999999886e+02 8.000000000000000383e-04
1.199999999999999956e-01 4.522000000000000242e+00 1.464000000000000057e+02 9.000000000000000838e-04
1.300000000000000044e-01 4.706000000000000405e+00 1.518000000000000114e+02 9.000000000000000838e-04
1.399989999999999846e-01 4.884000000000000341e+00 1.569000000000000057e+02 9.000000000000000838e-04
1.499989999999999934e-01 5.054999999999999716e+00 1.618000000000000114e+02 1.000000000000000021e-03
1.599990000000000023e-01 5.221000000000000085e+00 1.664000000000000057e+02 1.000000000000000021e-03
1.699990000000000112e-01 5.381999999999999673e+00 1.708000000000000114e+02 1.000000000000000021e-03
1.799989999999999923e-01 5.538000000000000256e+00 1.750000000000000000e+02 1.100000000000000066e-03
1.999990000000000101e-01 5.836999999999999744e+00 1.830000000000000000e+02 1.100000000000000066e-03
2.249990000000000046e-01 6.192000000000000171e+00 1.920999999999999943e+02 1.200000000000000112e-03
2.499989999999999990e-01 6.525999999999999801e+00 2.005000000000000000e+02 1.300000000000000157e-03
2.749990000000000490e-01 6.844999999999999751e+00 2.081999999999999886e+02 1.300000000000000157e-03
2.999990000000000157e-01 7.149000000000000021e+00 2.154000000000000057e+02 1.399999999999999986e-03
3.249990000000000379e-01 7.440999999999999837e+00 2.221999999999999886e+02 1.500000000000000031e-03
3.499990000000000046e-01 7.722000000000000419e+00 2.285000000000000000e+02 1.500000000000000031e-03
