        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 keV   3.065E+01  2.986E+02      67 A        38 A        28 A   
   3.00 keV   3.202E+01  3.015E+02      72 A        41 A        29 A   
   3.25 keV   3.332E+01  3.039E+02      77 A        43 A        31 A   
   3.50 keV   3.458E+01  3.059E+02      82 A        46 A        33 A   
   3.75 keV   3.580E+01  3.075E+02      86 A        48 A        34 A   
   4.00 keV   3.697E+01  3.089E+02      91 A        50 A        36 A   
   4.50 keV   3.921E+01  3.108E+02     101 A        55 A        39 A   
   5.00 keV   4.133E+01  3.121E+02     110 A        59 A        42 A   
   5.50 keV   4.335E+01  3.127E+02     119 A        64 A        45 A   
   6.00 keV   4.528E+01  3.129E+02     129 A        68 A        48 A   
   6.50 keV   4.713E+01  3.127E+02     138 A        72 A        51 A   
   7.00 keV   4.891E+01  3.123E+02     147 A        77 A        54 A   
   8.00 keV   5.229E+01  3.107E+02     166 A        85 A        60 A   
   9.00 keV   5.546E+01  3.085E+02     185 A        94 A        66 A   
  10.00 keV   5.846E+01  3.059E+02     204 A       103 A        72 A   
  11.00 keV   6.132E+01  3.030E+02     223 A       111 A        78 A   
  12.00 keV   6.404E+01  3.000E+02     243 A       119 A        84 A   
  13.00 keV   6.666E+01  2.968E+02     262 A       128 A        89 A   
  14.00 keV   6.918E+01  2.936E+02     282 A       136 A        95 A   
  15.00 keV   7.161E+01  2.903E+02     301 A       145 A       101 A   
  16.00 keV   7.396E+01  2.871E+02     321 A       153 A       106 A   
  17.00 keV   7.624E+01  2.838E+02     341 A       161 A       112 A   
  18.00 keV   7.845E+01  2.806E+02     362 A       170 A       118 A   
  20.00 keV   8.269E+01  2.743E+02     402 A       186 A       129 A   
  22.50 keV   8.771E+01  2.668E+02     454 A       206 A       144 A   
  25.00 keV   9.246E+01  2.596E+02     507 A       227 A       158 A   
  27.50 keV   9.698E+01  2.528E+02     560 A       247 A       172 A   
  30.00 keV   1.013E+02  2.463E+02     614 A       267 A       187 A   
  32.50 keV   1.054E+02  2.402E+02     669 A       287 A       202 A   
  35.00 keV   1.094E+02  2.344E+02     725 A       307 A       216 A   
  37.50 keV   1.133E+02  2.289E+02     781 A       326 A       231 A   
  40.00 keV   1.245E+02  2.237E+02     836 A       345 A       246 A   
  45.00 keV   1.429E+02  2.141E+02     946 A       381 A       276 A   
  50.00 keV   1.539E+02  2.054E+02    1055 A       415 A       306 A   
  55.00 keV   1.608E+02  1.975E+02    1165 A       448 A       334 A   
  60.00 keV   1.652E+02  1.902E+02    1277 A       481 A       363 A   
  65.00 keV   1.683E+02  1.836E+02    1390 A       514 A       391 A   
  70.00 keV   1.709E+02  1.775E+02    1506 A       547 A       419 A   
  80.00 keV   1.756E+02  1.666E+02    1742 A       612 A       474 A   
  90.00 keV   1.809E+02  1.572E+02    1984 A       676 A       530 A   
 100.00 keV   1.871E+02  1.490E+02    2231 A       739 A       586 A   
 110.00 keV   1.943E+02  1.417E+02    2480 A       800 A       641 A   
 120.00 keV   2.023E+02  1.352E+02    2730 A       859 A       697 A   
 130.00 keV   2.110E+02  1.294E+02    2979 A       915 A       752 A   
 140.00 keV   2.201E+02  1.241E+02    3228 A       969 A       806 A   
 150.00 keV   2.295E+02  1.193E+02    3475 A      1021 A       860 A   
 160.00 keV   2.391E+02  1.149E+02    3720 A      1070 A       912 A   
 170.00 keV   2.489E+02  1.109E+02    3961 A      1117 A       963 A   
 180.00 keV   2.587E+02  1.072E+02    4200 A      1162 A      1013 A   
 200.00 keV   2.781E+02  1.006E+02    4669 A      1246 A      1110 A   
 225.00 keV   3.020E+02  9.354E+01    5237 A      1342 A      1223 A   
 250.00 keV   3.251E+02  8.754E+01    5786 A      1427 A      1328 A   
 275.00 keV   3.474E+02  8.236E+01    6317 A      1503 A      1426 A   
 300.00 keV   3.687E+02  7.784E+01    6831 A      1573 A      1517 A   
 325.00 keV   3.892E+02  7.384E+01    7329 A      1636 A      1602 A   
 350.00 keV   4.088E+02  7.029E+01    7813 A      1694 A      1682 A   
 375.00 keV   4.277E+02  6.711E+01    8283 A      1747 A      1757 A   
 400.00 keV   4.460E+02  6.424E+01    8741 A      1796 A      1827 A   
 450.00 keV   4.807E+02  5.926E+01    9622 A      1885 A      1957 A   
 500.00 keV   5.135E+02  5.508E+01    1.05 um     1963 A      2073 A   
 550.00 keV   5.447E+02  5.151E+01    1.13 um     2030 A      2178 A   
 600.00 keV   5.747E+02  4.842E+01    1.20 um     2091 A      2273 A   
 650.00 keV   6.036E+02  4.573E+01    1.28 um     2145 A      2361 A   
