# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
6.999990000000000205e-03 1.905000000000000027e+00 3.586999999999999744e+01 3.000000000000000279e-04
7.999990000000000226e-03 2.036999999999999922e+00 3.896000000000000085e+01 3.000000000000000279e-04
8.999990000000001114e-03 2.160000000000000142e+00 4.189000000000000057e+01 3.000000000000000279e-04
9.999990000000000268e-03 2.277000000000000135e+00 4.467999999999999972e+01 3.000000000000000279e-04
1.099989999999999996e-02 2.387999999999999901e+00 4.735000000000000142e+01 3.000000000000000279e-04
1.199990000000000084e-02 2.494000000000000217e+00 4.990999999999999659e+01 3.000000000000000279e-04
1.299990000000000000e-02 2.596000000000000085e+00 5.236999999999999744e+01 4.000000000000000192e-04
1.399990000000000089e-02 2.693999999999999950e+00 5.475000000000000000e+01 4.000000000000000192e-04
1.499990000000000004e-02 2.789000000000000146e+00 5.706000000000000227e+01 4.000000000000000192e-04
1.599990000000000093e-02 2.879999999999999893e+00 5.928999999999999915e+01 4.000000000000000192e-04
1.699990000000000182e-02 2.968999999999999861e+00 6.146000000000000085e+01 4.000000000000000192e-04
1.799989999999999923e-02 3.055000000000000160e+00 6.357000000000000028e+01 4.000000000000000192e-04
1.999990000000000101e-02 3.220000000000000195e+00 6.762999999999999545e+01 4.000000000000000192e-04
2.249989999999999976e-02 3.415000000000000036e+00 7.243999999999999773e+01 4.000000000000000192e-04
2.499990000000000198e-02 3.600000000000000089e+00 7.700000000000000000e+01 5.000000000000000104e-04
2.749990000000000073e-02 3.775999999999999801e+00 8.134000000000000341e+01 5.000000000000000104e-04
2.999989999999999948e-02 3.943999999999999950e+00 8.548999999999999488e+01 5.000000000000000104e-04
3.249989999999999823e-02 4.105000000000000426e+00 8.945999999999999375e+01 5.000000000000000104e-04
3.499990000000000046e-02 4.259999999999999787e+00 9.329000000000000625e+01 5.000000000000000104e-04
3.749989999999999574e-02 4.408999999999999808e+00 9.698000000000000398e+01 5.000000000000000104e-04
3.999989999999999796e-02 4.554000000000000270e+00 1.005000000000000000e+02 6.000000000000000559e-04
4.499989999999999546e-02 4.830000000000000071e+00 1.072999999999999972e+02 6.000000000000000559e-04
4.999989999999999990e-02 5.091999999999999638e+00 1.137000000000000028e+02 6.000000000000000559e-04
5.499989999999999740e-02 5.339999999999999858e+00 1.197999999999999972e+02 6.000000000000000559e-04
5.999989999999999490e-02 5.576999999999999957e+00 1.255999999999999943e+02 6.999999999999999929e-04
6.499989999999999934e-02 5.804999999999999716e+00 1.310999999999999943e+02 6.999999999999999929e-04
6.999990000000000379e-02 6.024000000000000021e+00 1.364000000000000057e+02 6.999999999999999929e-04
7.999989999999999879e-02 6.440000000000000391e+00 1.464000000000000057e+02 6.999999999999999929e-04
8.999989999999999379e-02 6.831000000000000405e+00 1.556999999999999886e+02 8.000000000000000383e-04
9.999990000000000268e-02 7.200999999999999623e+00 1.644000000000000057e+02 8.000000000000000383e-04
1.100000000000000006e-01 7.551999999999999602e+00 1.725999999999999943e+02 9.000000000000000838e-04
1.199999999999999956e-01 7.887999999999999901e+00 1.803000000000000114e+02 9.000000000000000838e-04
1.300000000000000044e-01 8.210000000000000853e+00 1.876999999999999886e+02 9.000000000000000838e-04
1.399989999999999846e-01 8.519999999999999574e+00 1.946999999999999886e+02 1.000000000000000021e-03
1.499989999999999934e-01 8.819000000000000838e+00 2.015000000000000000e+02 1.000000000000000021e-03
1.599990000000000023e-01 9.108000000000000540e+00 2.079000000000000057e+02 1.000000000000000021e-03
1.699990000000000112e-01 9.387999999999999901e+00 2.140999999999999943e+02 1.000000000000000021e-03
1.799989999999999923e-01 9.660999999999999588e+00 2.200999999999999943e+02 1.100000000000000066e-03
1.999990000000000101e-01 1.017999999999999972e+01 2.315000000000000000e+02 1.100000000000000066e-03
2.249990000000000046e-01 1.080000000000000071e+01 2.445999999999999943e+02 1.200000000000000112e-03
2.499989999999999990e-01 1.139000000000000057e+01 2.568000000000000114e+02 1.300000000000000157e-03
2.749990000000000490e-01 1.193999999999999950e+01 2.683000000000000114e+02 1.300000000000000157e-03
2.999990000000000157e-01 1.247000000000000064e+01 2.790000000000000000e+02 1.399999999999999986e-03
3.249990000000000379e-01 1.298000000000000043e+01 2.891000000000000227e+02 1.399999999999999986e-03
3.499990000000000046e-01 1.347000000000000064e+01 2.986000000000000227e+02 1.500000000000000031e-03
3.749990000000000268e-01 1.393999999999999950e+01 3.076999999999999886e+02 1.500000000000000031e-03
3.999990000000000490e-01 1.440000000000000036e+01 3.163000000000000114e+02 1.600000000000000077e-03
4.499990000000000379e-01 1.527999999999999936e+01 3.325000000000000000e+02 1.700000000000000122e-03
4.999990000000000268e-01 1.610000000000000142e+01 3.473000000000000114e+02 1.800000000000000168e-03
5.499990000000000157e-01 1.689000000000000057e+01 3.610000000000000000e+02 1.899999999999999996e-03
5.999990000000000601e-01 1.764000000000000057e+01 3.738000000000000114e+02 2.000000000000000042e-03
6.499989999999999934e-01 1.835999999999999943e+01 3.856999999999999886e+02 2.000000000000000042e-03
6.999990000000000379e-01 1.905000000000000071e+01 3.970000000000000000e+02 2.100000000000000304e-03
7.999990000000000157e-01 2.037000000000000099e+01 4.175000000000000000e+02 2.299999999999999961e-03
8.999989999999999934e-01 2.160000000000000142e+01 4.361000000000000227e+02 2.400000000000000223e-03
9.999990000000000823e-01 2.276999999999999957e+01 4.528999999999999773e+02 2.600000000000000314e-03
1.100000000000000089e+00 2.387999999999999901e+01 4.681999999999999886e+02 2.700000000000000143e-03
1.199999999999999956e+00 2.494000000000000128e+01 4.823999999999999773e+02 2.900000000000000234e-03
1.300000000000000044e+00 2.596000000000000085e+01 4.955000000000000000e+02 3.000000000000000062e-03
1.399999999999999911e+00 2.694000000000000128e+01 5.076999999999999886e+02 3.100000000000000325e-03
1.500000000000000000e+00 2.789000000000000057e+01 5.191000000000000227e+02 3.299999999999999982e-03
1.600000000000000089e+00 2.880000000000000071e+01 5.297999999999999545e+02 3.400000000000000244e-03
1.699999999999999956e+00 2.969000000000000128e+01 5.398999999999999773e+02 3.500000000000000073e-03
1.800000000000000044e+00 3.055000000000000071e+01 5.492999999999999545e+02 3.600000000000000335e-03
2.000000000000000000e+00 3.220000000000000284e+01 5.667999999999999545e+02 3.900000000000000255e-03
2.250000000000000000e+00 3.415999999999999659e+01 5.862000000000000455e+02 4.200000000000000608e-03
2.500000000000000000e+00 3.600999999999999801e+01 6.035000000000000000e+02 4.500000000000000527e-03
2.750000000000000000e+00 3.775999999999999801e+01 6.188999999999999773e+02 4.700000000000000185e-03
3.000000000000000000e+00 3.943999999999999773e+01 6.328999999999999773e+02 5.000000000000000104e-03
3.250000000000000000e+00 4.104999999999999716e+01 6.456000000000000227e+02 5.300000000000000024e-03
3.500000000000000000e+00 4.260000000000000142e+01 6.571000000000000227e+02 5.500000000000000548e-03
3.750000000000000000e+00 4.410000000000000142e+01 6.677000000000000455e+02 5.800000000000000468e-03
4.000000000000000000e+00 4.554999999999999716e+01 6.775000000000000000e+02 6.000000000000000125e-03
4.500000000000000000e+00 4.831000000000000227e+01 6.948999999999999773e+02 6.599999999999999964e-03
5.000000000000000000e+00 5.092000000000000171e+01 7.098999999999999773e+02 7.000000000000000146e-03
5.500000000000000000e+00 5.340999999999999659e+01 7.230000000000000000e+02 7.500000000000000590e-03
6.000000000000000000e+00 5.578000000000000114e+01 7.345000000000000000e+02 8.000000000000000167e-03
6.500000000000000000e+00 5.806000000000000227e+01 7.446000000000000227e+02 8.500000000000000611e-03
7.000000000000000000e+00 6.025999999999999801e+01 7.536000000000000227e+02 8.899999999999999925e-03
8.000000000000000000e+00 6.442000000000000171e+01 7.687000000000000455e+02 9.900000000000000813e-03
9.000000000000000000e+00 6.832999999999999829e+01 7.808999999999999773e+02 1.080000000000000057e-02
1.000000000000000000e+01 7.201999999999999602e+01 7.907000000000000455e+02 1.170000000000000033e-02
1.100000000000000000e+01 7.554000000000000625e+01 7.987000000000000455e+02 1.250000000000000069e-02
1.200000000000000000e+01 7.890000000000000568e+01 8.051000000000000227e+02 1.340000000000000045e-02
1.300000000000000000e+01 8.212000000000000455e+01 8.103999999999999773e+02 1.430000000000000021e-02
1.400000000000000000e+01 8.521999999999999886e+01 8.145000000000000000e+02 1.519999999999999997e-02
1.500000000000000000e+01 8.820999999999999375e+01 8.178999999999999773e+02 1.600000000000000033e-02
1.600000000000000000e+01 9.110999999999999943e+01 8.205000000000000000e+02 1.690000000000000183e-02
1.700000000000000000e+01 9.390999999999999659e+01 8.223999999999999773e+02 1.770000000000000046e-02
1.800000000000000000e+01 9.664000000000000057e+01 8.238999999999999773e+02 1.860000000000000195e-02
2.000000000000000000e+01 1.019000000000000057e+02 8.253999999999999773e+02 2.030000000000000207e-02
2.250000000000000000e+01 1.080000000000000000e+02 8.252999999999999545e+02 2.239999999999999977e-02
2.500000000000000000e+01 1.139000000000000057e+02 8.235000000000000000e+02 2.460000000000000034e-02
2.750000000000000000e+01 1.195000000000000000e+02 8.206000000000000227e+02 2.670000000000000151e-02
3.000000000000000000e+01 1.247999999999999972e+02 8.167999999999999545e+02 2.890000000000000208e-02
3.250000000000000000e+01 1.299000000000000057e+02 8.122999999999999545e+02 3.099999999999999978e-02
3.500000000000000000e+01 1.348000000000000114e+02 8.073999999999999773e+02 3.320000000000000034e-02
3.750000000000000000e+01 1.395000000000000000e+02 8.021000000000000227e+02 3.530000000000000498e-02
4.000000000000000000e+01 1.440999999999999943e+02 7.963999999999999773e+02 3.749999999999999861e-02
4.500000000000000000e+01 1.528000000000000114e+02 7.847000000000000455e+02 4.180000000000000382e-02
5.000000000000000000e+01 1.610999999999999943e+02 7.726000000000000227e+02 4.630000000000000088e-02
5.500000000000000000e+01 1.690000000000000000e+02 7.602999999999999545e+02 5.070000000000000201e-02
6.000000000000000000e+01 1.765000000000000000e+02 7.481000000000000227e+02 5.520000000000000601e-02
6.500000000000000000e+01 1.836999999999999886e+02 7.361000000000000227e+02 5.970000000000000306e-02
