        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 keV   2.567E+01  4.450E+02      55 A        29 A        21 A   
   3.00 keV   2.681E+01  4.522E+02      59 A        30 A        22 A   
   3.25 keV   2.790E+01  4.586E+02      62 A        32 A        23 A   
   3.50 keV   2.896E+01  4.643E+02      66 A        33 A        24 A   
   3.75 keV   2.997E+01  4.694E+02      69 A        35 A        25 A   
   4.00 keV   3.096E+01  4.739E+02      73 A        36 A        26 A   
   4.50 keV   3.284E+01  4.816E+02      79 A        39 A        29 A   
   5.00 keV   3.461E+01  4.879E+02      86 A        42 A        31 A   
   5.50 keV   3.630E+01  4.931E+02      93 A        45 A        33 A   
   6.00 keV   3.792E+01  4.973E+02      99 A        48 A        35 A   
   6.50 keV   3.946E+01  5.007E+02     106 A        51 A        37 A   
   7.00 keV   4.096E+01  5.035E+02     113 A        53 A        39 A   
   8.00 keV   4.378E+01  5.075E+02     126 A        59 A        43 A   
   9.00 keV   4.644E+01  5.100E+02     139 A        64 A        46 A   
  10.00 keV   4.895E+01  5.112E+02     152 A        70 A        50 A   
  11.00 keV   5.134E+01  5.115E+02     165 A        75 A        54 A   
  12.00 keV   5.363E+01  5.112E+02     178 A        80 A        57 A   
  13.00 keV   5.582E+01  5.102E+02     191 A        85 A        61 A   
  14.00 keV   5.793E+01  5.089E+02     204 A        91 A        64 A   
  15.00 keV   5.996E+01  5.072E+02     217 A        96 A        68 A   
  16.00 keV   6.193E+01  5.052E+02     230 A       101 A        72 A   
  17.00 keV   6.383E+01  5.030E+02     243 A       106 A        75 A   
  18.00 keV   6.569E+01  5.007E+02     256 A       111 A        79 A   
  20.00 keV   6.924E+01  4.955E+02     283 A       122 A        85 A   
  22.50 keV   7.344E+01  4.886E+02     317 A       134 A        94 A   
  25.00 keV   7.742E+01  4.815E+02     351 A       147 A       103 A   
  27.50 keV   8.120E+01  4.742E+02     386 A       160 A       111 A   
  30.00 keV   8.481E+01  4.669E+02     421 A       173 A       120 A   
  32.50 keV   8.828E+01  4.597E+02     456 A       186 A       129 A   
  35.00 keV   9.161E+01  4.525E+02     492 A       198 A       137 A   
  37.50 keV   9.483E+01  4.456E+02     528 A       211 A       146 A   
  40.00 keV   9.794E+01  4.388E+02     565 A       224 A       155 A   
  45.00 keV   1.039E+02  4.257E+02     639 A       249 A       172 A   
  50.00 keV   1.095E+02  4.134E+02     715 A       275 A       190 A   
  55.00 keV   1.150E+02  4.018E+02     792 A       300 A       208 A   
  60.00 keV   1.209E+02  3.909E+02     870 A       326 A       226 A   
  65.00 keV   1.268E+02  3.806E+02     949 A       351 A       245 A   
  70.00 keV   1.325E+02  3.709E+02    1030 A       376 A       263 A   
  80.00 keV   1.433E+02  3.531E+02    1193 A       425 A       300 A   
  90.00 keV   1.531E+02  3.372E+02    1360 A       474 A       338 A   
 100.00 keV   1.622E+02  3.229E+02    1530 A       522 A       377 A   
 110.00 keV   1.706E+02  3.100E+02    1702 A       570 A       415 A   
 120.00 keV   1.785E+02  2.982E+02    1877 A       617 A       454 A   
 130.00 keV   1.860E+02  2.874E+02    2054 A       663 A       493 A   
 140.00 keV   1.932E+02  2.775E+02    2233 A       708 A       532 A   
 150.00 keV   2.002E+02  2.684E+02    2413 A       753 A       571 A   
 160.00 keV   2.069E+02  2.600E+02    2595 A       797 A       610 A   
 170.00 keV   2.135E+02  2.521E+02    2778 A       841 A       650 A   
 180.00 keV   2.199E+02  2.448E+02    2962 A       883 A       689 A   
 200.00 keV   2.326E+02  2.316E+02    3333 A       967 A       767 A   
 225.00 keV   2.481E+02  2.173E+02    3799 A      1067 A       863 A   
 250.00 keV   2.635E+02  2.049E+02    4265 A      1162 A       959 A   
 275.00 keV   2.788E+02  1.941E+02    4731 A      1253 A      1052 A   
 300.00 keV   2.941E+02  1.845E+02    5194 A      1339 A      1144 A   
 325.00 keV   3.094E+02  1.759E+02    5653 A      1420 A      1233 A   
 350.00 keV   3.247E+02  1.683E+02    6108 A      1498 A      1319 A   
 375.00 keV   3.399E+02  1.613E+02    6557 A      1571 A      1404 A   
 400.00 keV   3.552E+02  1.550E+02    7001 A      1641 A      1485 A   
 450.00 keV   3.855E+02  1.439E+02    7868 A      1770 A      1641 A   
 500.00 keV   4.156E+02  1.346E+02    8710 A      1886 A      1786 A   
 550.00 keV   4.454E+02  1.265E+02    9524 A      1991 A      1922 A   
 600.00 keV   4.748E+02  1.194E+02    1.03 um     2086 A      2049 A   
 650.00 keV   5.038E+02  1.132E+02    1.11 um     2172 A      2168 A   
 700.00 keV   5.324E+02  1.077E+02    1.18 um     2250 A      2278 A   
 800.00 keV   5.883E+02  9.830E+01    1.32 um     2390 A      2480 A   
 900.00 keV   6.423E+02  9.059E+01    1.45 um     2508 A      2657 A   
   1.00 MeV   6.946E+02  8.412E+01    1.58 um     2609 A      2814 A   
   1.10 MeV   7.453E+02  7.861E+01    1.70 um     2696 A      2955 A   
   1.20 MeV   7.945E+02  7.386E+01    1.81 um     2772 A      3082 A   
   1.30 MeV   8.422E+02  6.970E+01    1.92 um     2839 A      3196 A   
   1.40 MeV   8.886E+02  6.604E+01    2.02 um     2898 A      3301 A   
   1.50 MeV   9.337E+02  6.278E+01    2.12 um     2951 A      3396 A   
   1.60 MeV   9.778E+02  5.987E+01    2.21 um     2999 A      3484 A   
   1.70 MeV   1.021E+03  5.723E+01    2.31 um     3042 A      3565 A   
   1.80 MeV   1.063E+03  5.485E+01    2.39 um     3081 A      3639 A   
   2.00 MeV   1.144E+03  5.068E+01    2.56 um     3154 A      3774 A   
   2.25 MeV   1.241E+03  4.636E+01    2.76 um     3232 A      3918 A   
   2.50 MeV   1.334E+03  4.278E+01    2.94 um     3297 A      4042 A   
   2.75 MeV   1.422E+03  3.976E+01    3.11 um     3352 A      4150 A   
   3.00 MeV   1.507E+03  3.718E+01    3.28 um     3399 A      4245 A   
