        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 keV   4.007E+01  4.733E+02      52 A        27 A        19 A   
   3.00 keV   4.185E+01  4.814E+02      56 A        28 A        21 A   
   3.25 keV   4.356E+01  4.887E+02      59 A        29 A        22 A   
   3.50 keV   4.520E+01  4.953E+02      62 A        31 A        23 A   
   3.75 keV   4.679E+01  5.011E+02      65 A        32 A        24 A   
   4.00 keV   4.833E+01  5.064E+02      69 A        34 A        25 A   
   4.50 keV   5.126E+01  5.155E+02      75 A        36 A        27 A   
   5.00 keV   5.403E+01  5.230E+02      81 A        39 A        28 A   
   5.50 keV   5.667E+01  5.292E+02      87 A        41 A        30 A   
   6.00 keV   5.919E+01  5.344E+02      93 A        44 A        32 A   
   6.50 keV   6.161E+01  5.387E+02      99 A        46 A        34 A   
   7.00 keV   6.393E+01  5.423E+02     105 A        49 A        36 A   
   8.00 keV   6.835E+01  5.478E+02     117 A        54 A        39 A   
   9.00 keV   7.250E+01  5.515E+02     129 A        58 A        42 A   
  10.00 keV   7.642E+01  5.538E+02     140 A        63 A        46 A   
  11.00 keV   8.015E+01  5.551E+02     152 A        68 A        49 A   
  12.00 keV   8.372E+01  5.555E+02     164 A        72 A        52 A   
  13.00 keV   8.714E+01  5.553E+02     175 A        77 A        55 A   
  14.00 keV   9.043E+01  5.546E+02     187 A        81 A        58 A   
  15.00 keV   9.360E+01  5.535E+02     198 A        86 A        62 A   
  16.00 keV   9.667E+01  5.520E+02     210 A        90 A        65 A   
  17.00 keV   9.965E+01  5.502E+02     222 A        94 A        68 A   
  18.00 keV   1.025E+02  5.483E+02     233 A        99 A        71 A   
  20.00 keV   1.081E+02  5.438E+02     257 A       107 A        77 A   
  22.50 keV   1.146E+02  5.375E+02     286 A       118 A        84 A   
  25.00 keV   1.209E+02  5.307E+02     316 A       129 A        92 A   
  27.50 keV   1.268E+02  5.237E+02     346 A       140 A        99 A   
  30.00 keV   1.324E+02  5.166E+02     376 A       150 A       106 A   
  32.50 keV   1.378E+02  5.095E+02     406 A       161 A       113 A   
  35.00 keV   1.430E+02  5.024E+02     437 A       171 A       121 A   
  37.50 keV   1.480E+02  4.954E+02     468 A       181 A       128 A   
  40.00 keV   1.529E+02  4.885E+02     499 A       192 A       135 A   
  45.00 keV   1.622E+02  4.752E+02     561 A       212 A       150 A   
  50.00 keV   1.710E+02  4.625E+02     625 A       233 A       164 A   
  55.00 keV   1.793E+02  4.504E+02     689 A       253 A       179 A   
  60.00 keV   1.869E+02  4.390E+02     754 A       273 A       193 A   
  65.00 keV   1.948E+02  4.281E+02     820 A       292 A       208 A   
  70.00 keV   2.029E+02  4.179E+02     886 A       312 A       223 A   
  80.00 keV   2.181E+02  3.989E+02    1020 A       350 A       252 A   
  90.00 keV   2.315E+02  3.818E+02    1155 A       388 A       282 A   
 100.00 keV   2.431E+02  3.664E+02    1293 A       424 A       311 A   
