# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.100000000000000066e-03 5.803000000000000380e-01 9.012000000000000011e-01 1.000000000000000048e-04
1.199999999999999895e-03 5.803000000000000380e-01 9.414000000000000146e-01 1.000000000000000048e-04
1.300000000000000157e-03 6.039999999999999813e-01 9.795000000000000373e-01 1.000000000000000048e-04
1.399999999999999986e-03 6.268000000000000238e-01 1.016000000000000014e+00 1.000000000000000048e-04
1.500000000000000031e-03 6.488000000000000433e-01 1.050999999999999934e+00 2.000000000000000096e-04
1.600000000000000077e-03 6.701000000000000290e-01 1.084000000000000075e+00 2.000000000000000096e-04
1.699999999999999905e-03 6.906999999999999806e-01 1.116000000000000103e+00 2.000000000000000096e-04
1.800000000000000168e-03 7.106999999999999984e-01 1.147000000000000020e+00 2.000000000000000096e-04
2.000000000000000042e-03 7.491999999999999771e-01 1.205999999999999961e+00 2.000000000000000096e-04
2.250000000000000264e-03 7.945999999999999730e-01 1.274000000000000021e+00 2.000000000000000096e-04
2.499990000000000111e-03 8.376000000000000112e-01 1.336999999999999966e+00 2.000000000000000096e-04
2.749989999999999900e-03 8.784999999999999476e-01 1.395999999999999908e+00 2.000000000000000096e-04
2.999990000000000122e-03 9.174999999999999822e-01 1.451000000000000068e+00 2.000000000000000096e-04
3.249989999999999910e-03 9.549999999999999600e-01 1.502999999999999892e+00 2.000000000000000096e-04
3.499990000000000132e-03 9.909999999999999920e-01 1.552000000000000046e+00 2.000000000000000096e-04
3.749989999999999921e-03 1.026000000000000023e+00 1.598999999999999977e+00 2.000000000000000096e-04
3.999990000000000143e-03 1.058999999999999941e+00 1.643999999999999906e+00 3.000000000000000279e-04
4.499990000000000587e-03 1.124000000000000110e+00 1.727000000000000091e+00 3.000000000000000279e-04
4.999990000000000163e-03 1.185000000000000053e+00 1.804000000000000048e+00 3.000000000000000279e-04
5.499990000000000608e-03 1.241999999999999993e+00 1.875000000000000000e+00 3.000000000000000279e-04
5.999990000000000184e-03 1.298000000000000043e+00 1.941000000000000059e+00 3.000000000000000279e-04
6.499990000000000628e-03 1.350999999999999979e+00 2.003000000000000114e+00 3.000000000000000279e-04
