  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   2.75 keV   3.868E+01  2.070E+02      99 A        48 A        35 A   
   3.00 keV   4.040E+01  2.081E+02     106 A        51 A        37 A   
   3.25 keV   4.205E+01  2.089E+02     113 A        54 A        39 A   
   3.50 keV   4.363E+01  2.094E+02     120 A        57 A        41 A   
   3.75 keV   4.517E+01  2.098E+02     127 A        60 A        43 A   
   4.00 keV   4.665E+01  2.099E+02     134 A        62 A        45 A   
   4.50 keV   4.948E+01  2.099E+02     148 A        68 A        49 A   
   5.00 keV   5.215E+01  2.095E+02     162 A        74 A        53 A   
   5.50 keV   5.470E+01  2.087E+02     176 A        79 A        57 A   
   6.00 keV   5.713E+01  2.077E+02     190 A        85 A        61 A   
   6.50 keV   5.946E+01  2.066E+02     204 A        90 A        65 A   
   7.00 keV   6.171E+01  2.053E+02     218 A        96 A        69 A   
   8.00 keV   6.597E+01  2.025E+02     246 A       106 A        76 A   
   9.00 keV   6.997E+01  1.995E+02     275 A       117 A        84 A   
  10.00 keV   7.376E+01  1.964E+02     303 A       127 A        91 A   
  11.00 keV   7.736E+01  1.933E+02     332 A       137 A        98 A   
  12.00 keV   8.080E+01  1.902E+02     360 A       147 A       105 A   
  13.00 keV   8.410E+01  1.871E+02     389 A       157 A       112 A   
  14.00 keV   8.727E+01  1.841E+02     418 A       167 A       119 A   
  15.00 keV   9.033E+01  1.812E+02     447 A       176 A       127 A   
  16.00 keV   9.330E+01  1.783E+02     476 A       186 A       134 A   
  17.00 keV   9.617E+01  1.755E+02     505 A       196 A       141 A   
  18.00 keV   9.896E+01  1.728E+02     534 A       205 A       148 A   
  20.00 keV   1.043E+02  1.677E+02     593 A       223 A       161 A   
  22.50 keV   1.106E+02  1.617E+02     668 A       246 A       179 A   
  25.00 keV   1.166E+02  1.562E+02     742 A       268 A       196 A   
  27.50 keV   1.223E+02  1.511E+02     817 A       289 A       213 A   
  30.00 keV   1.278E+02  1.463E+02     893 A       310 A       230 A   
  32.50 keV   1.330E+02  1.419E+02     968 A       331 A       247 A   
  35.00 keV   1.377E+02  1.378E+02    1044 A       350 A       263 A   
  37.50 keV   1.420E+02  1.339E+02    1120 A       370 A       280 A   
  40.00 keV   1.460E+02  1.303E+02    1196 A       389 A       296 A   
  45.00 keV   1.533E+02  1.238E+02    1349 A       426 A       329 A   
  50.00 keV   1.598E+02  1.179E+02    1503 A       462 A       361 A   
  55.00 keV   1.659E+02  1.127E+02    1657 A       496 A       392 A   
  60.00 keV   1.717E+02  1.080E+02    1812 A       530 A       423 A   
  65.00 keV   1.773E+02  1.038E+02    1967 A       562 A       454 A   
  70.00 keV   1.826E+02  9.989E+01    2122 A       593 A       484 A   
  80.00 keV   1.930E+02  9.308E+01    2431 A       653 A       543 A   
  90.00 keV   2.030E+02  8.727E+01    2739 A       709 A       600 A   
 100.00 keV   2.126E+02  8.225E+01    3044 A       761 A       655 A   
 110.00 keV   2.221E+02  7.786E+01    3346 A       810 A       709 A   
 120.00 keV   2.313E+02  7.398E+01    3644 A       856 A       760 A   
 130.00 keV   2.404E+02  7.053E+01    3938 A       899 A       810 A   
 140.00 keV   2.492E+02  6.742E+01    4228 A       940 A       858 A   
 150.00 keV   2.580E+02  6.462E+01    4514 A       978 A       904 A   
 160.00 keV   2.666E+02  6.208E+01    4796 A      1014 A       948 A   
 170.00 keV   2.750E+02  5.976E+01    5073 A      1048 A       991 A   
 180.00 keV   2.834E+02  5.762E+01    5347 A      1081 A      1033 A   
 200.00 keV   2.998E+02  5.384E+01    5881 A      1141 A      1111 A   
 225.00 keV   3.198E+02  4.985E+01    6526 A      1210 A      1202 A   
 250.00 keV   3.393E+02  4.647E+01    7148 A      1270 A      1285 A   
 275.00 keV   3.584E+02  4.357E+01    7746 A      1324 A      1362 A   
 300.00 keV   3.771E+02  4.106E+01    8323 A      1372 A      1432 A   
 325.00 keV   3.955E+02  3.885E+01    8881 A      1415 A      1498 A   
 350.00 keV   4.137E+02  3.690E+01    9419 A      1455 A      1559 A   
 375.00 keV   4.316E+02  3.515E+01    9940 A      1490 A      1616 A   
 400.00 keV   4.493E+02  3.359E+01    1.04 um     1523 A      1669 A   
 450.00 keV   4.841E+02  3.088E+01    1.14 um     1583 A      1765 A   
 500.00 keV   5.182E+02  2.862E+01    1.23 um     1634 A      1849 A   
 550.00 keV   5.516E+02  2.670E+01    1.32 um     1678 A      1925 A   
 600.00 keV   5.844E+02  2.504E+01    1.40 um     1716 A      1992 A   
 650.00 keV   6.166E+02  2.360E+01    1.48 um     1750 A      2053 A   
 700.00 keV   6.483E+02  2.233E+01    1.55 um     1780 A      2109 A   
 800.00 keV   7.100E+02  2.020E+01    1.69 um     1835 A      2205 A   
 900.00 keV   7.697E+02  1.848E+01    1.82 um     1879 A      2286 A   
   1.00 MeV   8.274E+02  1.705E+01    1.94 um     1917 A      2356 A   
   1.10 MeV   8.832E+02  1.584E+01    2.05 um     1948 A      2417 A   
   1.20 MeV   9.369E+02  1.481E+01    2.16 um     1975 A      2470 A   
   1.30 MeV   9.887E+02  1.391E+01    2.26 um     1998 A      2517 A   
   1.40 MeV   1.039E+03  1.313E+01    2.36 um     2019 A      2559 A   
   1.50 MeV   1.086E+03  1.244E+01    2.45 um     2037 A      2597 A   
   1.60 MeV   1.132E+03  1.182E+01    2.54 um     2053 A      2631 A   
   1.70 MeV   1.176E+03  1.127E+01    2.62 um     2068 A      2663 A   
   1.80 MeV   1.218E+03  1.077E+01    2.71 um     2081 A      2692 A   
   2.00 MeV   1.296E+03  9.901E+00    2.86 um     2110 A      2743 A   
   2.25 MeV   1.382E+03  9.010E+00    3.05 um     2144 A      2798 A   
   2.50 MeV   1.457E+03  8.276E+00    3.22 um     2174 A      2845 A   
   2.75 MeV   1.521E+03  7.662E+00    3.39 um     2199 A      2886 A   
   3.00 MeV   1.576E+03  7.139E+00    3.55 um     2222 A      2922 A   
   3.25 MeV   1.622E+03  6.688E+00    3.70 um     2243 A      2955 A   
   3.50 MeV   1.660E+03  6.295E+00    3.85 um     2262 A      2985 A   
   3.75 MeV   1.692E+03  5.948E+00    4.00 um     2279 A      3013 A   
   4.00 MeV   1.718E+03  5.641E+00    4.15 um     2296 A      3038 A   
   4.50 MeV   1.756E+03  5.118E+00    4.43 um     2345 A      3085 A   
   5.00 MeV   1.779E+03  4.690E+00    4.71 um     2390 A      3127 A   
   5.50 MeV   1.793E+03  4.333E+00    4.99 um     2433 A      3165 A   
   6.00 MeV   1.799E+03  4.029E+00    5.27 um     2475 A      3201 A   
   6.50 MeV   1.799E+03  3.768E+00    5.55 um     2515 A      3234 A   
   7.00 MeV   1.795E+03  3.541E+00    5.82 um     2554 A      3266 A   
   8.00 MeV   1.780E+03  3.165E+00    6.38 um     2689 A      3326 A   
   9.00 MeV   1.756E+03  2.865E+00    6.95 um     2819 A      3382 A   
  10.00 MeV   1.729E+03  2.621E+00    7.52 um     2946 A      3436 A   
