  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   2.75 keV   2.296E+01  3.180E+02      81 A        36 A        27 A   
   3.00 keV   2.398E+01  3.223E+02      87 A        38 A        28 A   
   3.25 keV   2.496E+01  3.261E+02      92 A        40 A        30 A   
   3.50 keV   2.590E+01  3.294E+02      97 A        42 A        31 A   
   3.75 keV   2.681E+01  3.323E+02     103 A        44 A        33 A   
   4.00 keV   2.769E+01  3.349E+02     108 A        46 A        34 A   
   4.50 keV   2.937E+01  3.391E+02     118 A        50 A        37 A   
   5.00 keV   3.096E+01  3.423E+02     128 A        54 A        40 A   
   5.50 keV   3.247E+01  3.448E+02     138 A        58 A        42 A   
   6.00 keV   3.391E+01  3.467E+02     148 A        61 A        45 A   
   6.50 keV   3.530E+01  3.481E+02     158 A        65 A        48 A   
   7.00 keV   3.663E+01  3.491E+02     168 A        69 A        50 A   
   8.00 keV   3.916E+01  3.502E+02     188 A        76 A        55 A   
   9.00 keV   4.154E+01  3.502E+02     208 A        83 A        60 A   
  10.00 keV   4.378E+01  3.496E+02     228 A        90 A        65 A   
  11.00 keV   4.592E+01  3.485E+02     248 A        97 A        70 A   
  12.00 keV   4.796E+01  3.469E+02     268 A       104 A        75 A   
  13.00 keV   4.992E+01  3.451E+02     288 A       111 A        80 A   
  14.00 keV   5.180E+01  3.431E+02     308 A       118 A        84 A   
  15.00 keV   5.362E+01  3.409E+02     328 A       124 A        89 A   
  16.00 keV   5.538E+01  3.386E+02     348 A       131 A        94 A   
  17.00 keV   5.709E+01  3.362E+02     369 A       138 A        98 A   
  18.00 keV   5.874E+01  3.337E+02     389 A       145 A       103 A   
  20.00 keV   6.192E+01  3.286E+02     431 A       158 A       112 A   
  22.50 keV   6.568E+01  3.223E+02     483 A       175 A       124 A   
  25.00 keV   6.923E+01  3.159E+02     536 A       192 A       135 A   
  27.50 keV   7.261E+01  3.097E+02     589 A       208 A       147 A   
  30.00 keV   7.584E+01  3.036E+02     643 A       225 A       158 A   
  32.50 keV   7.893E+01  2.977E+02     698 A       241 A       170 A   
  35.00 keV   8.191E+01  2.920E+02     753 A       258 A       182 A   
  37.50 keV   8.479E+01  2.866E+02     809 A       274 A       193 A   
  40.00 keV   8.757E+01  2.813E+02     866 A       291 A       205 A   
  45.00 keV   9.288E+01  2.713E+02     981 A       323 A       229 A   
  50.00 keV   1.007E+02  2.621E+02    1097 A       355 A       252 A   
  55.00 keV   1.104E+02  2.536E+02    1214 A       386 A       276 A   
  60.00 keV   1.178E+02  2.457E+02    1331 A       417 A       301 A   
  65.00 keV   1.237E+02  2.383E+02    1449 A       446 A       325 A   
  70.00 keV   1.285E+02  2.314E+02    1567 A       476 A       349 A   
  80.00 keV   1.359E+02  2.190E+02    1809 A       534 A       397 A   
  90.00 keV   1.419E+02  2.080E+02    2056 A       591 A       445 A   
 100.00 keV   1.473E+02  1.982E+02    2307 A       648 A       493 A   
 110.00 keV   1.525E+02  1.895E+02    2563 A       704 A       541 A   
 120.00 keV   1.577E+02  1.817E+02    2821 A       758 A       589 A   
 130.00 keV   1.630E+02  1.745E+02    3083 A       812 A       637 A   
 140.00 keV   1.686E+02  1.680E+02    3346 A       864 A       685 A   
 150.00 keV   1.744E+02  1.621E+02    3611 A       915 A       734 A   
 160.00 keV   1.804E+02  1.566E+02    3876 A       965 A       781 A   
 170.00 keV   1.866E+02  1.515E+02    4142 A      1013 A       829 A   
 180.00 keV   1.930E+02  1.468E+02    4407 A      1060 A       876 A   
 200.00 keV   2.064E+02  1.384E+02    4934 A      1150 A       969 A   
 225.00 keV   2.238E+02  1.293E+02    5583 A      1255 A      1082 A   
 250.00 keV   2.418E+02  1.215E+02    6219 A      1351 A      1190 A   
 275.00 keV   2.602E+02  1.148E+02    6839 A      1439 A      1293 A   
 300.00 keV   2.789E+02  1.088E+02    7441 A      1519 A      1391 A   
 325.00 keV   2.976E+02  1.035E+02    8026 A      1592 A      1484 A   
 350.00 keV   3.164E+02  9.878E+01    8594 A      1660 A      1571 A   
 375.00 keV   3.352E+02  9.452E+01    9144 A      1721 A      1654 A   
 400.00 keV   3.538E+02  9.067E+01    9677 A      1778 A      1732 A   
 450.00 keV   3.907E+02  8.394E+01    1.07 um     1880 A      1876 A   
 500.00 keV   4.269E+02  7.826E+01    1.17 um     1967 A      2005 A   
 550.00 keV   4.624E+02  7.339E+01    1.26 um     2043 A      2120 A   
 600.00 keV   4.970E+02  6.916E+01    1.34 um     2109 A      2224 A   
 650.00 keV   5.309E+02  6.544E+01    1.43 um     2167 A      2318 A   
 700.00 keV   5.641E+02  6.215E+01    1.50 um     2218 A      2404 A   
 800.00 keV   6.284E+02  5.658E+01    1.65 um     2309 A      2555 A   
 900.00 keV   6.902E+02  5.202E+01    1.79 um     2383 A      2682 A   
   1.00 MeV   7.500E+02  4.821E+01    1.91 um     2444 A      2792 A   
   1.10 MeV   8.081E+02  4.497E+01    2.03 um     2495 A      2887 A   
   1.20 MeV   8.646E+02  4.219E+01    2.14 um     2539 A      2971 A   
   1.30 MeV   9.197E+02  3.976E+01    2.24 um     2577 A      3045 A   
   1.40 MeV   9.736E+02  3.763E+01    2.34 um     2610 A      3112 A   
   1.50 MeV   1.026E+03  3.573E+01    2.44 um     2639 A      3171 A   
   1.60 MeV   1.078E+03  3.404E+01    2.53 um     2664 A      3225 A   
   1.70 MeV   1.129E+03  3.251E+01    2.62 um     2687 A      3274 A   
   1.80 MeV   1.179E+03  3.113E+01    2.70 um     2708 A      3319 A   
   2.00 MeV   1.277E+03  2.872E+01    2.85 um     2748 A      3398 A   
   2.25 MeV   1.394E+03  2.623E+01    3.04 um     2791 A      3481 A   
   2.50 MeV   1.506E+03  2.418E+01    3.20 um     2826 A      3550 A   
   2.75 MeV   1.613E+03  2.244E+01    3.36 um     2856 A      3609 A   
   3.00 MeV   1.714E+03  2.096E+01    3.51 um     2881 A      3661 A   
   3.25 MeV   1.809E+03  1.968E+01    3.65 um     2902 A      3706 A   
   3.50 MeV   1.899E+03  1.856E+01    3.78 um     2921 A      3745 A   
   3.75 MeV   1.983E+03  1.757E+01    3.91 um     2938 A      3781 A   
   4.00 MeV   2.061E+03  1.669E+01    4.03 um     2953 A      3813 A   
   4.50 MeV   2.202E+03  1.518E+01    4.26 um     2989 A      3869 A   
   5.00 MeV   2.322E+03  1.395E+01    4.48 um     3019 A      3917 A   
   5.50 MeV   2.424E+03  1.291E+01    4.69 um     3045 A      3958 A   
   6.00 MeV   2.511E+03  1.203E+01    4.89 um     3069 A      3994 A   
   6.50 MeV   2.584E+03  1.127E+01    5.08 um     3090 A      4027 A   
   7.00 MeV   2.645E+03  1.061E+01    5.27 um     3110 A      4057 A   
   8.00 MeV   2.739E+03  9.508E+00    5.64 um     3168 A      4109 A   
   9.00 MeV   2.805E+03  8.627E+00    6.00 um     3221 A      4155 A   
  10.00 MeV   2.849E+03  7.906E+00    6.35 um     3270 A      4195 A   
