  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   3.00 keV   4.403E+01  4.138E+02      75 A        30 A        23 A   
   3.25 keV   4.583E+01  4.207E+02      79 A        32 A        24 A   
   3.50 keV   4.756E+01  4.270E+02      83 A        33 A        25 A   
   3.75 keV   4.923E+01  4.326E+02      87 A        35 A        26 A   
   4.00 keV   5.084E+01  4.377E+02      91 A        36 A        27 A   
   4.50 keV   5.393E+01  4.467E+02      99 A        38 A        29 A   
   5.00 keV   5.685E+01  4.542E+02     107 A        41 A        31 A   
   5.50 keV   5.962E+01  4.606E+02     115 A        44 A        33 A   
   6.00 keV   6.227E+01  4.660E+02     122 A        46 A        35 A   
   6.50 keV   6.481E+01  4.707E+02     130 A        48 A        37 A   
   7.00 keV   6.726E+01  4.747E+02     137 A        51 A        38 A   
   8.00 keV   7.190E+01  4.810E+02     152 A        56 A        42 A   
   9.00 keV   7.627E+01  4.857E+02     166 A        60 A        45 A   
  10.00 keV   8.039E+01  4.891E+02     180 A        65 A        49 A   
  11.00 keV   8.432E+01  4.914E+02     195 A        69 A        52 A   
  12.00 keV   8.807E+01  4.930E+02     209 A        73 A        55 A   
  13.00 keV   9.166E+01  4.939E+02     223 A        77 A        58 A   
  14.00 keV   9.512E+01  4.943E+02     237 A        82 A        61 A   
  15.00 keV   9.846E+01  4.943E+02     251 A        86 A        64 A   
  16.00 keV   1.017E+02  4.939E+02     264 A        90 A        67 A   
  17.00 keV   1.048E+02  4.932E+02     278 A        94 A        70 A   
  18.00 keV   1.079E+02  4.923E+02     292 A        98 A        73 A   
  20.00 keV   1.137E+02  4.899E+02     320 A       106 A        79 A   
  22.50 keV   1.206E+02  4.860E+02     354 A       116 A        87 A   
  25.00 keV   1.271E+02  4.815E+02     389 A       126 A        94 A   
  27.50 keV   1.333E+02  4.767E+02     423 A       135 A       101 A   
  30.00 keV   1.392E+02  4.715E+02     458 A       145 A       108 A   
  32.50 keV   1.449E+02  4.663E+02     493 A       154 A       114 A   
  35.00 keV   1.504E+02  4.609E+02     528 A       164 A       121 A   
  37.50 keV   1.557E+02  4.555E+02     563 A       173 A       128 A   
  40.00 keV   1.608E+02  4.502E+02     598 A       182 A       135 A   
  45.00 keV   1.705E+02  4.396E+02     668 A       200 A       148 A   
  50.00 keV   1.798E+02  4.294E+02     739 A       218 A       161 A   
  55.00 keV   1.885E+02  4.195E+02     811 A       235 A       175 A   
  60.00 keV   1.969E+02  4.100E+02     883 A       252 A       188 A   
  65.00 keV   2.046E+02  4.010E+02     955 A       269 A       201 A   
  70.00 keV   2.106E+02  3.923E+02    1028 A       286 A       214 A   
  80.00 keV   2.214E+02  3.761E+02    1175 A       319 A       240 A   
  90.00 keV   2.308E+02  3.614E+02    1324 A       352 A       265 A   
 100.00 keV   2.394E+02  3.479E+02    1475 A       384 A       291 A   
 110.00 keV   2.473E+02  3.355E+02    1628 A       415 A       317 A   
 120.00 keV   2.547E+02  3.241E+02    1783 A       446 A       342 A   
 130.00 keV   2.619E+02  3.135E+02    1939 A       477 A       368 A   
 140.00 keV   2.689E+02  3.038E+02    2096 A       507 A       393 A   
 150.00 keV   2.758E+02  2.947E+02    2255 A       536 A       419 A   
 160.00 keV   2.827E+02  2.862E+02    2414 A       565 A       445 A   
 170.00 keV   2.895E+02  2.783E+02    2574 A       593 A       470 A   
 180.00 keV   2.964E+02  2.710E+02    2735 A       621 A       495 A   
 200.00 keV   3.102E+02  2.575E+02    3057 A       675 A       546 A   
 225.00 keV   3.277E+02  2.427E+02    3461 A       740 A       608 A   
 250.00 keV   3.455E+02  2.298E+02    3864 A       802 A       670 A   
 275.00 keV   3.635E+02  2.184E+02    4264 A       860 A       730 A   
 300.00 keV   3.817E+02  2.082E+02    4660 A       915 A       788 A   
 325.00 keV   4.000E+02  1.991E+02    5051 A       967 A       845 A   
 350.00 keV   4.183E+02  1.909E+02    5438 A      1016 A       901 A   
 375.00 keV   4.366E+02  1.834E+02    5819 A      1062 A       954 A   
 400.00 keV   4.549E+02  1.766E+02    6194 A      1106 A      1006 A   
 450.00 keV   4.912E+02  1.646E+02    6925 A      1187 A      1105 A   
 500.00 keV   5.270E+02  1.543E+02    7632 A      1261 A      1197 A   
 550.00 keV   5.621E+02  1.454E+02    8315 A      1326 A      1283 A   
 600.00 keV   5.965E+02  1.377E+02    8975 A      1385 A      1363 A   
 650.00 keV   6.302E+02  1.308E+02    9614 A      1439 A      1438 A   
 700.00 keV   6.630E+02  1.246E+02    1.02 um     1488 A      1509 A   
 800.00 keV   7.264E+02  1.141E+02    1.14 um     1577 A      1636 A   
 900.00 keV   7.870E+02  1.055E+02    1.25 um     1653 A      1749 A   
   1.00 MeV   8.450E+02  9.815E+01    1.36 um     1717 A      1850 A   
   1.10 MeV   9.007E+02  9.191E+01    1.46 um     1774 A      1940 A   
   1.20 MeV   9.545E+02  8.650E+01    1.55 um     1823 A      2022 A   
   1.30 MeV   1.007E+03  8.176E+01    1.65 um     1867 A      2096 A   
   1.40 MeV   1.057E+03  7.757E+01    1.73 um     1906 A      2164 A   
   1.50 MeV   1.106E+03  7.384E+01    1.82 um     1941 A      2226 A   
   1.60 MeV   1.155E+03  7.049E+01    1.90 um     1973 A      2284 A   
   1.70 MeV   1.202E+03  6.746E+01    1.98 um     2002 A      2337 A   
   1.80 MeV   1.248E+03  6.471E+01    2.05 um     2028 A      2387 A   
   2.00 MeV   1.339E+03  5.990E+01    2.20 um     2080 A      2476 A   
   2.25 MeV   1.449E+03  5.489E+01    2.37 um     2136 A      2572 A   
   2.50 MeV   1.557E+03  5.074E+01    2.53 um     2183 A      2655 A   
   2.75 MeV   1.662E+03  4.722E+01    2.68 um     2223 A      2727 A   
   3.00 MeV   1.764E+03  4.420E+01    2.82 um     2257 A      2791 A   
   3.25 MeV   1.865E+03  4.158E+01    2.95 um     2287 A      2847 A   
   3.50 MeV   1.963E+03  3.929E+01    3.08 um     2313 A      2897 A   
   3.75 MeV   2.059E+03  3.725E+01    3.20 um     2336 A      2943 A   
   4.00 MeV   2.152E+03  3.544E+01    3.31 um     2357 A      2984 A   
   4.50 MeV   2.330E+03  3.233E+01    3.53 um     2402 A      3056 A   
   5.00 MeV   2.496E+03  2.977E+01    3.74 um     2440 A      3116 A   
   5.50 MeV   2.649E+03  2.761E+01    3.93 um     2472 A      3169 A   
   6.00 MeV   2.791E+03  2.577E+01    4.11 um     2499 A      3215 A   
   6.50 MeV   2.920E+03  2.418E+01    4.28 um     2524 A      3255 A   
   7.00 MeV   3.038E+03  2.279E+01    4.45 um     2546 A      3291 A   
   8.00 MeV   3.242E+03  2.048E+01    4.76 um     2603 A      3354 A   
   9.00 MeV   3.410E+03  1.862E+01    5.06 um     2653 A      3407 A   
  10.00 MeV   3.548E+03  1.709E+01    5.34 um     2696 A      3453 A   
