  Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   2.75 keV   3.448E+01  2.483E+00     567 A       297 A       257 A   
   3.00 keV   3.580E+01  2.369E+00     614 A       311 A       271 A   
   3.25 keV   3.705E+01  2.267E+00     660 A       324 A       285 A   
   3.50 keV   3.826E+01  2.175E+00     706 A       337 A       298 A   
   3.75 keV   3.942E+01  2.092E+00     751 A       348 A       311 A   
   4.00 keV   4.055E+01  2.015E+00     795 A       359 A       323 A   
   4.50 keV   4.274E+01  1.881E+00     882 A       380 A       346 A   
   5.00 keV   4.485E+01  1.766E+00     968 A       399 A       367 A   
   5.50 keV   4.690E+01  1.666E+00    1051 A       416 A       387 A   
   6.00 keV   4.890E+01  1.578E+00    1132 A       431 A       406 A   
   6.50 keV   5.083E+01  1.501E+00    1211 A       446 A       424 A   
   7.00 keV   5.271E+01  1.432E+00    1289 A       459 A       441 A   
   8.00 keV   5.630E+01  1.314E+00    1439 A       483 A       471 A   
   9.00 keV   5.967E+01  1.216E+00    1583 A       505 A       499 A   
  10.00 keV   6.286E+01  1.133E+00    1722 A       523 A       525 A   
  11.00 keV   6.587E+01  1.062E+00    1856 A       540 A       548 A   
  12.00 keV   6.873E+01  1.001E+00    1986 A       555 A       569 A   
  13.00 keV   7.144E+01  9.471E-01    2111 A       568 A       589 A   
  14.00 keV   7.401E+01  8.995E-01    2234 A       581 A       608 A   
  15.00 keV   7.647E+01  8.569E-01    2353 A       592 A       625 A   
  16.00 keV   7.880E+01  8.187E-01    2469 A       603 A       641 A   
  17.00 keV   8.103E+01  7.841E-01    2583 A       613 A       657 A   
  18.00 keV   8.316E+01  7.527E-01    2694 A       622 A       671 A   
  20.00 keV   8.714E+01  6.976E-01    2910 A       638 A       698 A   
  22.50 keV   9.164E+01  6.402E-01    3169 A       657 A       729 A   
  25.00 keV   9.566E+01  5.924E-01    3419 A       673 A       756 A   
  27.50 keV   9.927E+01  5.519E-01    3661 A       687 A       781 A   
  30.00 keV   1.025E+02  5.172E-01    3895 A       700 A       804 A   
  32.50 keV   1.054E+02  4.869E-01    4124 A       712 A       825 A   
  35.00 keV   1.080E+02  4.604E-01    4348 A       723 A       845 A   
  37.50 keV   1.103E+02  4.368E-01    4567 A       732 A       864 A   
  40.00 keV   1.124E+02  4.158E-01    4783 A       742 A       881 A   
  45.00 keV   1.159E+02  3.798E-01    5205 A       759 A       914 A   
  50.00 keV   1.185E+02  3.500E-01    5618 A       775 A       944 A   
  55.00 keV   1.205E+02  3.250E-01    6024 A       790 A       972 A   
  60.00 keV   1.220E+02  3.036E-01    6426 A       803 A       998 A   
  65.00 keV   1.230E+02  2.850E-01    6824 A       816 A      1023 A   
  70.00 keV   1.235E+02  2.688E-01    7221 A       828 A      1047 A   
  80.00 keV   1.237E+02  2.417E-01    8014 A       854 A      1092 A   
  90.00 keV   1.228E+02  2.200E-01    8811 A       878 A      1134 A   
 100.00 keV   1.212E+02  2.021E-01    9617 A       901 A      1175 A   
 110.00 keV   1.192E+02  1.871E-01    1.04 um      923 A      1215 A   
 120.00 keV   1.168E+02  1.744E-01    1.13 um      945 A      1254 A   
 130.00 keV   1.143E+02  1.634E-01    1.21 um      967 A      1293 A   
 140.00 keV   1.116E+02  1.538E-01    1.30 um      989 A      1331 A   
 150.00 keV   1.090E+02  1.453E-01    1.39 um     1011 A      1370 A   
 160.00 keV   1.063E+02  1.378E-01    1.48 um     1033 A      1410 A   
 170.00 keV   1.037E+02  1.311E-01    1.58 um     1056 A      1449 A   
 180.00 keV   1.011E+02  1.251E-01    1.67 um     1079 A      1490 A   
 200.00 keV   9.623E+01  1.146E-01    1.87 um     1143 A      1572 A   
 225.00 keV   9.068E+01  1.040E-01    2.14 um     1238 A      1679 A   
 250.00 keV   8.570E+01  9.521E-02    2.42 um     1335 A      1792 A   
 275.00 keV   8.128E+01  8.791E-02    2.72 um     1436 A      1910 A   
 300.00 keV   7.733E+01  8.172E-02    3.03 um     1539 A      2034 A   
 325.00 keV   7.380E+01  7.639E-02    3.36 um     1645 A      2163 A   
 350.00 keV   7.063E+01  7.177E-02    3.70 um     1755 A      2299 A   
 375.00 keV   6.777E+01  6.770E-02    4.06 um     1867 A      2440 A   
 400.00 keV   6.517E+01  6.410E-02    4.44 um     1981 A      2588 A   
 450.00 keV   6.065E+01  5.800E-02    5.23 um     2354 A      2899 A   
 500.00 keV   5.684E+01  5.302E-02    6.08 um     2720 A      3232 A   
 550.00 keV   5.357E+01  4.888E-02    6.98 um     3086 A      3586 A   
 600.00 keV   5.075E+01  4.537E-02    7.93 um     3452 A      3960 A   
 650.00 keV   4.827E+01  4.236E-02    8.94 um     3820 A      4353 A   
 700.00 keV   4.609E+01  3.975E-02    9.99 um     4191 A      4764 A   
 800.00 keV   4.241E+01  3.543E-02   12.24 um     5427 A      5637 A   
 900.00 keV   3.943E+01  3.201E-02   14.68 um     6593 A      6574 A   
   1.00 MeV   3.699E+01  2.922E-02   17.29 um     7725 A      7569 A   
   1.10 MeV   3.549E+01  2.690E-02   20.04 um     8824 A      8610 A   
   1.20 MeV   3.404E+01  2.494E-02   22.90 um     9891 A      9683 A   
   1.30 MeV   3.239E+01  2.326E-02   25.90 um     1.09 um     1.08 um  
   1.40 MeV   3.089E+01  2.180E-02   29.05 um     1.20 um     1.19 um  
   1.50 MeV   2.953E+01  2.053E-02   32.35 um     1.31 um     1.31 um  
   1.60 MeV   2.829E+01  1.940E-02   35.80 um     1.42 um     1.44 um  
   1.70 MeV   2.715E+01  1.840E-02   39.39 um     1.53 um     1.57 um  
   1.80 MeV   2.610E+01  1.750E-02   43.14 um     1.64 um     1.70 um  
   2.00 MeV   2.422E+01  1.596E-02   51.07 um     2.03 um     1.98 um  
   2.25 MeV   2.223E+01  1.439E-02   61.81 um     2.59 um     2.36 um  
   2.50 MeV   2.056E+01  1.311E-02   73.47 um     3.12 um     2.76 um  
   2.75 MeV   1.915E+01  1.206E-02   86.03 um     3.65 um     3.19 um  
   3.00 MeV   1.793E+01  1.116E-02   99.48 um     4.18 um     3.65 um  
   3.25 MeV   1.688E+01  1.040E-02  113.81 um     4.71 um     4.13 um  
   3.50 MeV   1.595E+01  9.739E-03  129.00 um     5.24 um     4.64 um  
   3.75 MeV   1.513E+01  9.161E-03  145.04 um     5.78 um     5.18 um  
   4.00 MeV   1.440E+01  8.652E-03  161.93 um     6.33 um     5.74 um  
   4.50 MeV   1.315E+01  7.792E-03  198.16 um     8.29 um     6.94 um  
   5.00 MeV   1.212E+01  7.094E-03  237.65 um    10.14 um     8.25 um  
   5.50 MeV   1.126E+01  6.517E-03  280.34 um    11.96 um     9.65 um  
   6.00 MeV   1.052E+01  6.030E-03  326.18 um    13.77 um    11.14 um  
   6.50 MeV   9.876E+00  5.614E-03  375.12 um    15.59 um    12.73 um  
   7.00 MeV   9.316E+00  5.254E-03  427.11 um    17.43 um    14.41 um  
   8.00 MeV   8.383E+00  4.662E-03  540.01 um    23.98 um    18.05 um  
   9.00 MeV   7.634E+00  4.194E-03  664.72 um    30.14 um    22.04 um  
  10.00 MeV   7.019E+00  3.816E-03  801.02 um    36.18 um    26.37 um  
