# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.100000000000000066e-03 7.072000000000000508e-01 6.197000000000000064e+00 2.000000000000000096e-04
1.199999999999999895e-03 7.072000000000000508e-01 6.567999999999999616e+00 2.000000000000000096e-04
1.300000000000000157e-03 7.359999999999999876e-01 6.927999999999999936e+00 2.000000000000000096e-04
1.399999999999999986e-03 7.638000000000000345e-01 7.277999999999999581e+00 2.000000000000000096e-04
1.500000000000000031e-03 7.905999999999999694e-01 7.618999999999999773e+00 2.000000000000000096e-04
1.600000000000000077e-03 8.165999999999999925e-01 7.950999999999999623e+00 2.000000000000000096e-04
1.699999999999999905e-03 8.417000000000000037e-01 8.275000000000000355e+00 2.000000000000000096e-04
1.800000000000000168e-03 8.660999999999999810e-01 8.592000000000000526e+00 2.000000000000000096e-04
2.000000000000000042e-03 9.129000000000000448e-01 9.207000000000000739e+00 2.000000000000000096e-04
2.250000000000000264e-03 9.683000000000000496e-01 9.942999999999999616e+00 3.000000000000000279e-04
2.499990000000000111e-03 1.020999999999999908e+00 1.065000000000000036e+01 3.000000000000000279e-04
2.749989999999999900e-03 1.070999999999999952e+00 1.133000000000000007e+01 3.000000000000000279e-04
2.999990000000000122e-03 1.118000000000000105e+00 1.198000000000000043e+01 3.000000000000000279e-04
3.249989999999999910e-03 1.163999999999999924e+00 1.260999999999999943e+01 3.000000000000000279e-04
3.499990000000000132e-03 1.207999999999999963e+00 1.323000000000000043e+01 3.000000000000000279e-04
3.749989999999999921e-03 1.250000000000000000e+00 1.382000000000000028e+01 3.000000000000000279e-04
3.999990000000000143e-03 1.290999999999999925e+00 1.440000000000000036e+01 3.000000000000000279e-04
4.499990000000000587e-03 1.368999999999999995e+00 1.551999999999999957e+01 3.000000000000000279e-04
4.999990000000000163e-03 1.443000000000000060e+00 1.658999999999999986e+01 3.000000000000000279e-04
5.499990000000000608e-03 1.514000000000000012e+00 1.760999999999999943e+01 4.000000000000000192e-04
5.999990000000000184e-03 1.580999999999999961e+00 1.860000000000000142e+01 4.000000000000000192e-04
6.499990000000000628e-03 1.645999999999999908e+00 1.955000000000000071e+01 4.000000000000000192e-04
6.999990000000000205e-03 1.707999999999999963e+00 2.046999999999999886e+01 4.000000000000000192e-04
7.999990000000000226e-03 1.826000000000000068e+00 2.223000000000000043e+01 4.000000000000000192e-04
8.999990000000001114e-03 1.937000000000000055e+00 2.389000000000000057e+01 4.000000000000000192e-04
9.999990000000000268e-03 2.040999999999999925e+00 2.546999999999999886e+01 5.000000000000000104e-04
1.099989999999999996e-02 2.141000000000000014e+00 2.698999999999999844e+01 5.000000000000000104e-04
1.199990000000000084e-02 2.236000000000000210e+00 2.844000000000000128e+01 5.000000000000000104e-04
1.299990000000000000e-02 2.327999999999999847e+00 2.983999999999999986e+01 5.000000000000000104e-04
1.399990000000000089e-02 2.415000000000000036e+00 3.119999999999999929e+01 5.000000000000000104e-04
1.499990000000000004e-02 2.500000000000000000e+00 3.250000000000000000e+01 5.000000000000000104e-04
1.599990000000000093e-02 2.581999999999999851e+00 3.377000000000000313e+01 5.000000000000000104e-04
1.699990000000000182e-02 2.661999999999999922e+00 3.500000000000000000e+01 6.000000000000000559e-04
1.799989999999999923e-02 2.738999999999999879e+00 3.620000000000000284e+01 6.000000000000000559e-04
1.999990000000000101e-02 2.887000000000000011e+00 3.850000000000000000e+01 6.000000000000000559e-04
2.249989999999999976e-02 3.061999999999999833e+00 4.122999999999999687e+01 6.000000000000000559e-04
2.499990000000000198e-02 3.228000000000000203e+00 4.381000000000000227e+01 6.999999999999999929e-04
2.749990000000000073e-02 3.384999999999999787e+00 4.627000000000000313e+01 6.999999999999999929e-04
2.999989999999999948e-02 3.536000000000000032e+00 4.861999999999999744e+01 6.999999999999999929e-04
3.249989999999999823e-02 3.680000000000000160e+00 5.086999999999999744e+01 6.999999999999999929e-04
3.499990000000000046e-02 3.818999999999999950e+00 5.303000000000000114e+01 6.999999999999999929e-04
3.749989999999999574e-02 3.952999999999999847e+00 5.511999999999999744e+01 8.000000000000000383e-04
3.999989999999999796e-02 4.083000000000000185e+00 5.714000000000000057e+01 8.000000000000000383e-04
4.499989999999999546e-02 4.330000000000000071e+00 6.097999999999999687e+01 8.000000000000000383e-04
4.999989999999999990e-02 4.565000000000000391e+00 6.459999999999999432e+01 9.000000000000000838e-04
5.499989999999999740e-02 4.786999999999999922e+00 6.801999999999999602e+01 9.000000000000000838e-04
5.999989999999999490e-02 5.000000000000000000e+00 7.129000000000000625e+01 9.000000000000000838e-04
6.499989999999999934e-02 5.205000000000000071e+00 7.440000000000000568e+01 1.000000000000000021e-03
6.999990000000000379e-02 5.400999999999999801e+00 7.737999999999999545e+01 1.000000000000000021e-03
7.999989999999999879e-02 5.774000000000000021e+00 8.301000000000000512e+01 1.100000000000000066e-03
8.999989999999999379e-02 6.123999999999999666e+00 8.823999999999999488e+01 1.100000000000000066e-03
9.999990000000000268e-02 6.455000000000000071e+00 9.314000000000000057e+01 1.200000000000000112e-03
1.100000000000000006e-01 6.769999999999999574e+00 9.775000000000000000e+01 1.200000000000000112e-03
1.199999999999999956e-01 7.072000000000000064e+00 1.020999999999999943e+02 1.300000000000000157e-03
1.300000000000000044e-01 7.360000000000000320e+00 1.062999999999999972e+02 1.300000000000000157e-03
1.399989999999999846e-01 7.637999999999999901e+00 1.102000000000000028e+02 1.399999999999999986e-03
1.499989999999999934e-01 7.905999999999999694e+00 1.140000000000000000e+02 1.399999999999999986e-03
1.599990000000000023e-01 8.166000000000000369e+00 1.175999999999999943e+02 1.500000000000000031e-03
1.699990000000000112e-01 8.416999999999999815e+00 1.210999999999999943e+02 1.500000000000000031e-03
1.799989999999999923e-01 8.660999999999999588e+00 1.245000000000000000e+02 1.500000000000000031e-03
1.999990000000000101e-01 9.128999999999999559e+00 1.308000000000000114e+02 1.600000000000000077e-03
2.249990000000000046e-01 9.682999999999999829e+00 1.381999999999999886e+02 1.700000000000000122e-03
2.499989999999999990e-01 1.021000000000000085e+01 1.450999999999999943e+02 1.800000000000000168e-03
2.749990000000000490e-01 1.071000000000000085e+01 1.514000000000000057e+02 1.899999999999999996e-03
2.999990000000000157e-01 1.117999999999999972e+01 1.574000000000000057e+02 2.000000000000000042e-03
3.249990000000000379e-01 1.164000000000000057e+01 1.630999999999999943e+02 2.100000000000000304e-03
3.499990000000000046e-01 1.208000000000000007e+01 1.684000000000000057e+02 2.100000000000000304e-03
3.749990000000000268e-01 1.250000000000000000e+01 1.735000000000000000e+02 2.200000000000000133e-03
3.999990000000000490e-01 1.291000000000000014e+01 1.783000000000000114e+02 2.299999999999999961e-03
4.499990000000000379e-01 1.368999999999999950e+01 1.873000000000000114e+02 2.400000000000000223e-03
4.999990000000000268e-01 1.442999999999999972e+01 1.955000000000000000e+02 2.600000000000000314e-03
5.499990000000000157e-01 1.514000000000000057e+01 2.031999999999999886e+02 2.700000000000000143e-03
5.999990000000000601e-01 1.581000000000000050e+01 2.103000000000000114e+02 2.900000000000000234e-03
6.499989999999999934e-01 1.646000000000000085e+01 2.169000000000000057e+02 3.000000000000000062e-03
6.999990000000000379e-01 1.707999999999999829e+01 2.230999999999999943e+02 3.100000000000000325e-03
7.999990000000000157e-01 1.826000000000000156e+01 2.345000000000000000e+02 3.299999999999999982e-03
8.999989999999999934e-01 1.937000000000000099e+01 2.448000000000000114e+02 3.600000000000000335e-03
9.999990000000000823e-01 2.041000000000000014e+01 2.540999999999999943e+02 3.799999999999999992e-03
1.100000000000000089e+00 2.141000000000000014e+01 2.626000000000000227e+02 4.000000000000000083e-03
1.199999999999999956e+00 2.235999999999999943e+01 2.703999999999999773e+02 4.200000000000000608e-03
1.300000000000000044e+00 2.328000000000000114e+01 2.776000000000000227e+02 4.400000000000000265e-03
1.399999999999999911e+00 2.414999999999999858e+01 2.843000000000000114e+02 4.599999999999999922e-03
1.500000000000000000e+00 2.500000000000000000e+01 2.906000000000000227e+02 4.800000000000000447e-03
1.600000000000000089e+00 2.582000000000000028e+01 2.963999999999999773e+02 5.000000000000000104e-03
1.699999999999999956e+00 2.662000000000000099e+01 3.020000000000000000e+02 5.200000000000000629e-03
1.800000000000000044e+00 2.739000000000000057e+01 3.071999999999999886e+02 5.400000000000000286e-03
2.000000000000000000e+00 2.887000000000000099e+01 3.166999999999999886e+02 5.800000000000000468e-03
2.250000000000000000e+00 3.062000000000000099e+01 3.273000000000000114e+02 6.200000000000000649e-03
2.500000000000000000e+00 3.228000000000000114e+01 3.368000000000000114e+02 6.700000000000000226e-03
2.750000000000000000e+00 3.385000000000000142e+01 3.451999999999999886e+02 7.100000000000000408e-03
3.000000000000000000e+00 3.535999999999999943e+01 3.528000000000000114e+02 7.500000000000000590e-03
3.250000000000000000e+00 3.679999999999999716e+01 3.596000000000000227e+02 7.900000000000000772e-03
3.500000000000000000e+00 3.818999999999999773e+01 3.658999999999999773e+02 8.400000000000001216e-03
3.750000000000000000e+00 3.953000000000000114e+01 3.716000000000000227e+02 8.800000000000000530e-03
4.000000000000000000e+00 4.082999999999999829e+01 3.768999999999999773e+02 9.199999999999999845e-03
4.500000000000000000e+00 4.329999999999999716e+01 3.863000000000000114e+02 9.900000000000000813e-03
5.000000000000000000e+00 4.564999999999999858e+01 3.943000000000000114e+02 1.070000000000000118e-02
5.500000000000000000e+00 4.786999999999999744e+01 4.013000000000000114e+02 1.149999999999999981e-02
6.000000000000000000e+00 5.000000000000000000e+01 4.073999999999999773e+02 1.220000000000000077e-02
6.500000000000000000e+00 5.204999999999999716e+01 4.128000000000000114e+02 1.290000000000000001e-02
7.000000000000000000e+00 5.400999999999999801e+01 4.175000000000000000e+02 1.370000000000000037e-02
8.000000000000000000e+00 5.774000000000000199e+01 4.253999999999999773e+02 1.510000000000000057e-02
9.000000000000000000e+00 6.124000000000000199e+01 4.316999999999999886e+02 1.650000000000000078e-02
1.000000000000000000e+01 6.454999999999999716e+01 4.368000000000000114e+02 1.789999999999999925e-02
1.100000000000000000e+01 6.770999999999999375e+01 4.408000000000000114e+02 1.930000000000000118e-02
1.200000000000000000e+01 7.071999999999999886e+01 4.440000000000000000e+02 2.069999999999999965e-02
1.300000000000000000e+01 7.359999999999999432e+01 4.466000000000000227e+02 2.210000000000000159e-02
1.400000000000000000e+01 7.637999999999999545e+01 4.486000000000000227e+02 2.340000000000000066e-02
1.500000000000000000e+01 7.906000000000000227e+01 4.501000000000000227e+02 2.480000000000000260e-02
1.600000000000000000e+01 8.165999999999999659e+01 4.513000000000000114e+02 2.610000000000000167e-02
1.700000000000000000e+01 8.417000000000000171e+01 4.521000000000000227e+02 2.750000000000000014e-02
1.800000000000000000e+01 8.660999999999999943e+01 4.526000000000000227e+02 2.880000000000000268e-02
2.000000000000000000e+01 9.129000000000000625e+01 4.528999999999999773e+02 3.150000000000000022e-02
2.250000000000000000e+01 9.682999999999999829e+01 4.523000000000000114e+02 3.490000000000000047e-02
2.500000000000000000e+01 1.020999999999999943e+02 4.508000000000000114e+02 3.820000000000000479e-02
2.750000000000000000e+01 1.070999999999999943e+02 4.488000000000000114e+02 4.160000000000000503e-02
3.000000000000000000e+01 1.117999999999999972e+02 4.461999999999999886e+02 4.490000000000000241e-02
3.250000000000000000e+01 1.164000000000000057e+02 4.433999999999999773e+02 4.830000000000000265e-02
3.500000000000000000e+01 1.207999999999999972e+02 4.403000000000000114e+02 5.170000000000000290e-02
3.750000000000000000e+01 1.250000000000000000e+02 4.370000000000000000e+02 5.500000000000000028e-02
4.000000000000000000e+01 1.290999999999999943e+02 4.336000000000000227e+02 5.840000000000000052e-02
4.500000000000000000e+01 1.369000000000000057e+02 4.266000000000000227e+02 6.520000000000000795e-02
5.000000000000000000e+01 1.444000000000000057e+02 4.193999999999999773e+02 7.209999999999999742e-02
5.500000000000000000e+01 1.514000000000000057e+02 4.123000000000000114e+02 7.900000000000000078e-02
6.000000000000000000e+01 1.580999999999999943e+02 4.051999999999999886e+02 8.600000000000000699e-02
6.500000000000000000e+01 1.645999999999999943e+02 3.983000000000000114e+02 9.299999999999999933e-02
7.000000000000000000e+01 1.710999999999999943e+02 3.915000000000000000e+02 1.000000000000000056e-01
8.000000000000000000e+01 2.105999999999999943e+02 3.786000000000000227e+02 1.138000000000000123e-01
9.000000000000000000e+01 2.295000000000000000e+02 3.663999999999999773e+02 1.274000000000000132e-01
1.000000000000000000e+02 2.378000000000000114e+02 3.550000000000000000e+02 1.410000000000000142e-01
1.100000000000000000e+02 2.409000000000000057e+02 3.443999999999999773e+02 1.548000000000000209e-01
1.200000000000000000e+02 2.420999999999999943e+02 3.343999999999999773e+02 1.690000000000000113e-01
1.300000000000000000e+02 2.426999999999999886e+02 3.251000000000000227e+02 1.834999999999999964e-01
1.400000000000000000e+02 2.435000000000000000e+02 3.163999999999999773e+02 1.983000000000000040e-01
1.500000000000000000e+02 2.446999999999999886e+02 3.081000000000000227e+02 2.133000000000000174e-01
1.600000000000000000e+02 2.465999999999999943e+02 3.003999999999999773e+02 2.285999999999999976e-01
1.700000000000000000e+02 2.490000000000000000e+02 2.931000000000000227e+02 2.441000000000000114e-01
1.800000000000000000e+02 2.520000000000000000e+02 2.861999999999999886e+02 2.598000000000000309e-01
2.000000000000000000e+02 2.593000000000000114e+02 2.735000000000000000e+02 2.915000000000000369e-01
2.250000000000000000e+02 2.706999999999999886e+02 2.593999999999999773e+02 3.318000000000000393e-01
2.500000000000000000e+02 2.838999999999999773e+02 2.469000000000000057e+02 3.724000000000000088e-01
2.750000000000000000e+02 2.985000000000000000e+02 2.356999999999999886e+02 4.130000000000000338e-01
3.000000000000000000e+02 3.141000000000000227e+02 2.256999999999999886e+02 4.535000000000000142e-01
3.250000000000000000e+02 3.303999999999999773e+02 2.165999999999999943e+02 4.936000000000000387e-01
3.500000000000000000e+02 3.473999999999999773e+02 2.084000000000000057e+02 5.333999999999999853e-01
3.750000000000000000e+02 3.646999999999999886e+02 2.008000000000000114e+02 5.725999999999999979e-01
4.000000000000000000e+02 3.823999999999999773e+02 1.939000000000000057e+02 6.113000000000000655e-01
4.500000000000000000e+02 4.181999999999999886e+02 1.815999999999999943e+02 6.869000000000000661e-01
5.000000000000000000e+02 4.541000000000000227e+02 1.709000000000000057e+02 7.599000000000000199e-01
5.500000000000000000e+02 4.896000000000000227e+02 1.616999999999999886e+02 8.305000000000000160e-01
6.000000000000000000e+02 5.243999999999999773e+02 1.535000000000000000e+02 8.986000000000000654e-01
6.500000000000000000e+02 5.582000000000000455e+02 1.461999999999999886e+02 9.644000000000000350e-01
7.000000000000000000e+02 5.908999999999999773e+02 1.396999999999999886e+02 1.030000000000000027e+00
8.000000000000000000e+02 6.525000000000000000e+02 1.285000000000000000e+02 1.149999999999999911e+00
9.000000000000000000e+02 7.091000000000000227e+02 1.192000000000000028e+02 1.270000000000000018e+00
1.000000000000000000e+03 7.612999999999999545e+02 1.112999999999999972e+02 1.379999999999999893e+00
1.100000000000000000e+03 8.102999999999999545e+02 1.045000000000000000e+02 1.479999999999999982e+00
1.200000000000000000e+03 8.572999999999999545e+02 9.854999999999999716e+01 1.580000000000000071e+00
1.300000000000000000e+03 9.032999999999999545e+02 9.334999999999999432e+01 1.679999999999999938e+00
1.400000000000000000e+03 9.491000000000000227e+02 8.873999999999999488e+01 1.770000000000000018e+00
1.500000000000000000e+03 9.950000000000000000e+02 8.460999999999999943e+01 1.860000000000000098e+00
1.600000000000000000e+03 1.041000000000000000e+03 8.090000000000000568e+01 1.949999999999999956e+00
1.700000000000000000e+03 1.088000000000000000e+03 7.754000000000000625e+01 2.029999999999999805e+00
1.800000000000000000e+03 1.136000000000000000e+03 7.446999999999999886e+01 2.109999999999999876e+00
2.000000000000000000e+03 1.231000000000000000e+03 6.909999999999999432e+01 2.270000000000000018e+00
2.250000000000000000e+03 1.352000000000000000e+03 6.347999999999999687e+01 2.450000000000000178e+00
2.500000000000000000e+03 1.472000000000000000e+03 5.879999999999999716e+01 2.609999999999999876e+00
2.750000000000000000e+03 1.590000000000000000e+03 5.482999999999999829e+01 2.759999999999999787e+00
3.000000000000000000e+03 1.705000000000000000e+03 5.140999999999999659e+01 2.910000000000000142e+00
3.250000000000000000e+03 1.817000000000000000e+03 4.842999999999999972e+01 3.040000000000000036e+00
3.500000000000000000e+03 1.925000000000000000e+03 4.582000000000000028e+01 3.169999999999999929e+00
3.750000000000000000e+03 2.029000000000000000e+03 4.349000000000000199e+01 3.290000000000000036e+00
4.000000000000000000e+03 2.129000000000000000e+03 4.142000000000000171e+01 3.410000000000000142e+00
4.500000000000000000e+03 2.315000000000000000e+03 3.785999999999999943e+01 3.629999999999999893e+00
5.000000000000000000e+03 2.484000000000000000e+03 3.492000000000000171e+01 3.830000000000000071e+00
5.500000000000000000e+03 2.637000000000000000e+03 3.243999999999999773e+01 4.019999999999999574e+00
6.000000000000000000e+03 2.777000000000000000e+03 3.030999999999999872e+01 4.200000000000000178e+00
6.500000000000000000e+03 2.903000000000000000e+03 2.846999999999999886e+01 4.370000000000000107e+00
7.000000000000000000e+03 3.017000000000000000e+03 2.685999999999999943e+01 4.540000000000000036e+00
8.000000000000000000e+03 3.215000000000000000e+03 2.417000000000000171e+01 4.849999999999999645e+00
9.000000000000000000e+03 3.378000000000000000e+03 2.201000000000000156e+01 5.150000000000000355e+00
