# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.100000000000000066e-03 3.866999999999999882e-01 5.405999999999999694e+00 2.000000000000000096e-04
1.199999999999999895e-03 3.866999999999999882e-01 5.721000000000000085e+00 2.000000000000000096e-04
1.300000000000000157e-03 4.025000000000000244e-01 6.025999999999999801e+00 2.000000000000000096e-04
1.399999999999999986e-03 4.177000000000000157e-01 6.322000000000000064e+00 2.000000000000000096e-04
1.500000000000000031e-03 4.323000000000000176e-01 6.608999999999999986e+00 2.000000000000000096e-04
1.600000000000000077e-03 4.465000000000000080e-01 6.889000000000000234e+00 2.000000000000000096e-04
1.699999999999999905e-03 4.602999999999999869e-01 7.161999999999999922e+00 2.000000000000000096e-04
1.800000000000000168e-03 4.736000000000000210e-01 7.429000000000000270e+00 2.000000000000000096e-04
2.000000000000000042e-03 4.991999999999999771e-01 7.945000000000000284e+00 2.000000000000000096e-04
2.250000000000000264e-03 5.294999999999999707e-01 8.560999999999999943e+00 2.000000000000000096e-04
2.499990000000000111e-03 5.581000000000000405e-01 9.148999999999999133e+00 3.000000000000000279e-04
2.749989999999999900e-03 5.854000000000000314e-01 9.714000000000000412e+00 3.000000000000000279e-04
2.999990000000000122e-03 6.114000000000000545e-01 1.025999999999999979e+01 3.000000000000000279e-04
3.249989999999999910e-03 6.363999999999999657e-01 1.077999999999999936e+01 3.000000000000000279e-04
3.499990000000000132e-03 6.603999999999999870e-01 1.128999999999999915e+01 3.000000000000000279e-04
3.749989999999999921e-03 6.835999999999999854e-01 1.177999999999999936e+01 3.000000000000000279e-04
3.999990000000000143e-03 7.059999999999999609e-01 1.225999999999999979e+01 3.000000000000000279e-04
4.499990000000000587e-03 7.488000000000000211e-01 1.317999999999999972e+01 3.000000000000000279e-04
4.999990000000000163e-03 7.893000000000000016e-01 1.405000000000000071e+01 3.000000000000000279e-04
5.499990000000000608e-03 8.278999999999999693e-01 1.488000000000000078e+01 3.000000000000000279e-04
5.999990000000000184e-03 8.647000000000000242e-01 1.568999999999999950e+01 4.000000000000000192e-04
