       Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 keV   1.851E+01  2.208E+02      90 A        57 A        41 A   
   3.00 keV   1.933E+01  2.241E+02      96 A        61 A        44 A   
   3.25 keV   2.012E+01  2.271E+02     102 A        64 A        46 A   
   3.50 keV   2.088E+01  2.297E+02     107 A        67 A        48 A   
   3.75 keV   2.162E+01  2.320E+02     113 A        70 A        51 A   
   4.00 keV   2.233E+01  2.340E+02     119 A        74 A        53 A   
   4.50 keV   2.368E+01  2.375E+02     131 A        80 A        57 A   
   5.00 keV   2.496E+01  2.402E+02     142 A        86 A        62 A   
   5.50 keV   2.618E+01  2.424E+02     153 A        92 A        66 A   
   6.00 keV   2.734E+01  2.442E+02     165 A        98 A        70 A   
   6.50 keV   2.846E+01  2.456E+02     176 A       104 A        74 A   
   7.00 keV   2.953E+01  2.467E+02     187 A       110 A        78 A   
   8.00 keV   3.157E+01  2.481E+02     210 A       122 A        87 A   
   9.00 keV   3.349E+01  2.489E+02     232 A       133 A        94 A   
  10.00 keV   3.530E+01  2.490E+02     255 A       144 A       102 A   
  11.00 keV   3.702E+01  2.488E+02     277 A       156 A       110 A   
  12.00 keV   3.867E+01  2.482E+02     300 A       167 A       118 A   
  13.00 keV   4.025E+01  2.474E+02     323 A       178 A       125 A   
  14.00 keV   4.177E+01  2.464E+02     346 A       189 A       133 A   
  15.00 keV   4.323E+01  2.453E+02     368 A       200 A       140 A   
  16.00 keV   4.465E+01  2.440E+02     391 A       211 A       148 A   
  17.00 keV   4.603E+01  2.427E+02     415 A       222 A       155 A   
  18.00 keV   4.736E+01  2.413E+02     438 A       233 A       163 A   
  20.00 keV   4.992E+01  2.383E+02     485 A       255 A       178 A   
  22.50 keV   5.295E+01  2.345E+02     544 A       282 A       196 A   
  25.00 keV   5.582E+01  2.305E+02     604 A       310 A       215 A   
  27.50 keV   5.854E+01  2.266E+02     665 A       337 A       233 A   
