       Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
12.9999 eV    2.328E+00  2.984E+01       5 A         3 A         3 A   
13.9999 eV    2.415E+00  3.120E+01       5 A         4 A         3 A   
14.9999 eV    2.500E+00  3.250E+01       5 A         4 A         3 A   
15.9999 eV    2.582E+00  3.377E+01       5 A         4 A         3 A   
16.9999 eV    2.662E+00  3.500E+01       6 A         4 A         3 A   
17.9999 eV    2.739E+00  3.620E+01       6 A         4 A         3 A   
19.9999 eV    2.887E+00  3.850E+01       6 A         4 A         3 A   
22.4999 eV    3.062E+00  4.123E+01       6 A         4 A         3 A   
24.9999 eV    3.228E+00  4.381E+01       7 A         5 A         3 A   
27.4999 eV    3.385E+00  4.627E+01       7 A         5 A         3 A   
29.9999 eV    3.536E+00  4.862E+01       7 A         5 A         4 A   
32.4999 eV    3.680E+00  5.087E+01       7 A         5 A         4 A   
34.9999 eV    3.819E+00  5.303E+01       7 A         5 A         4 A   
37.4999 eV    3.953E+00  5.512E+01       8 A         5 A         4 A   
39.9999 eV    4.083E+00  5.714E+01       8 A         6 A         4 A   
44.9999 eV    4.330E+00  6.098E+01       8 A         6 A         4 A   
49.9999 eV    4.565E+00  6.460E+01       9 A         6 A         4 A   
54.9999 eV    4.787E+00  6.802E+01       9 A         6 A         5 A   
59.9999 eV    5.000E+00  7.129E+01       9 A         7 A         5 A   
64.9999 eV    5.205E+00  7.440E+01      10 A         7 A         5 A   
69.9999 eV    5.401E+00  7.738E+01      10 A         7 A         5 A   
79.9999 eV    5.774E+00  8.301E+01      11 A         7 A         5 A   
89.9999 eV    6.124E+00  8.824E+01      11 A         8 A         6 A   
99.9999 eV    6.455E+00  9.314E+01      12 A         8 A         6 A   
    110 eV    6.770E+00  9.775E+01      12 A         8 A         6 A   
    120 eV    7.072E+00  1.021E+02      13 A         9 A         6 A   
    130 eV    7.360E+00  1.063E+02      13 A         9 A         7 A   
139.999 eV    7.638E+00  1.102E+02      14 A         9 A         7 A   
149.999 eV    7.906E+00  1.140E+02      14 A        10 A         7 A   
159.999 eV    8.166E+00  1.176E+02      15 A        10 A         7 A   
169.999 eV    8.417E+00  1.211E+02      15 A        10 A         7 A   
179.999 eV    8.661E+00  1.245E+02      15 A        10 A         7 A   
199.999 eV    9.129E+00  1.308E+02      16 A        11 A         8 A   
224.999 eV    9.683E+00  1.382E+02      17 A        11 A         8 A   
249.999 eV    1.021E+01  1.451E+02      18 A        12 A         9 A   
274.999 eV    1.071E+01  1.514E+02      19 A        13 A         9 A   
