        Ion        dEdx      dEdx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.00 keV   2.921E+01  6.513E+02      97 A        20 A        14 A   
   3.25 keV   3.041E+01  6.781E+02     100 A        21 A        15 A   
   3.50 keV   3.155E+01  7.036E+02     103 A        22 A        15 A   
   3.75 keV   3.266E+01  7.280E+02     106 A        22 A        16 A   
   4.00 keV   3.373E+01  7.514E+02     109 A        23 A        16 A   
   4.50 keV   3.578E+01  7.955E+02     115 A        24 A        17 A   
   5.00 keV   3.771E+01  8.366E+02     121 A        25 A        18 A   
   5.50 keV   3.956E+01  8.751E+02     126 A        26 A        18 A   
   6.00 keV   4.131E+01  9.114E+02     131 A        27 A        19 A   
   6.50 keV   4.300E+01  9.456E+02     135 A        28 A        20 A   
   7.00 keV   4.463E+01  9.781E+02     140 A        29 A        20 A   
   8.00 keV   4.771E+01  1.038E+03     149 A        30 A        22 A   
   9.00 keV   5.060E+01  1.094E+03     157 A        32 A        23 A   
  10.00 keV   5.334E+01  1.145E+03     165 A        33 A        24 A   
  11.00 keV   5.594E+01  1.192E+03     173 A        34 A        25 A   
  12.00 keV   5.843E+01  1.236E+03     180 A        36 A        26 A   
  13.00 keV   6.082E+01  1.278E+03     187 A        37 A        27 A   
  14.00 keV   6.311E+01  1.317E+03     194 A        38 A        28 A   
  15.00 keV   6.533E+01  1.354E+03     201 A        39 A        28 A   
  16.00 keV   6.747E+01  1.389E+03     207 A        40 A        29 A   
  17.00 keV   6.955E+01  1.422E+03     214 A        41 A        30 A   
  18.00 keV   7.157E+01  1.454E+03     220 A        42 A        31 A   
  20.00 keV   7.544E+01  1.513E+03     232 A        44 A        33 A   
  22.50 keV   8.002E+01  1.580E+03     246 A        46 A        34 A   
  25.00 keV   8.435E+01  1.642E+03     260 A        49 A        36 A   
  27.50 keV   8.847E+01  1.698E+03     274 A        51 A        38 A   
  30.00 keV   9.240E+01  1.749E+03     286 A        53 A        40 A   
  32.50 keV   9.618E+01  1.797E+03     299 A        55 A        41 A   
  35.00 keV   9.981E+01  1.842E+03     311 A        56 A        43 A   
  37.50 keV   1.033E+02  1.883E+03     323 A        58 A        44 A   
  40.00 keV   1.067E+02  1.922E+03     335 A        60 A        46 A   
  45.00 keV   1.132E+02  1.994E+03     358 A        63 A        49 A   
  50.00 keV   1.193E+02  2.058E+03     380 A        66 A        52 A   
  55.00 keV   1.251E+02  2.115E+03     401 A        69 A        54 A   
  60.00 keV   1.307E+02  2.168E+03     422 A        72 A        57 A   
  65.00 keV   1.360E+02  2.215E+03     442 A        75 A        59 A   
  70.00 keV   1.412E+02  2.259E+03     462 A        78 A        62 A   
  72.00 keV   1.431E+02  2.276E+03     470 A        79 A        63 A   
