        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 keV   2.110E+01  2.068E+02     103 A        51 A        37 A   
   3.00 keV   2.203E+01  2.079E+02     110 A        54 A        39 A   
   3.25 keV   2.293E+01  2.087E+02     118 A        58 A        41 A   
   3.50 keV   2.380E+01  2.092E+02     126 A        61 A        44 A   
   3.75 keV   2.464E+01  2.096E+02     133 A        64 A        46 A   
   4.00 keV   2.544E+01  2.098E+02     141 A        67 A        48 A   
   4.50 keV   2.699E+01  2.097E+02     156 A        74 A        53 A   
   5.00 keV   2.845E+01  2.093E+02     171 A        80 A        57 A   
   5.50 keV   2.984E+01  2.085E+02     186 A        86 A        61 A   
   6.00 keV   3.117E+01  2.075E+02     201 A        93 A        66 A   
   6.50 keV   3.244E+01  2.064E+02     217 A        99 A        70 A   
   7.00 keV   3.366E+01  2.051E+02     232 A       105 A        74 A   
   8.00 keV   3.599E+01  2.023E+02     263 A       118 A        83 A   
   9.00 keV   3.818E+01  1.993E+02     294 A       130 A        91 A   
  10.00 keV   4.024E+01  1.962E+02     326 A       142 A       100 A   
  11.00 keV   4.221E+01  1.931E+02     358 A       155 A       108 A   
  12.00 keV   4.409E+01  1.900E+02     391 A       167 A       116 A   
  13.00 keV   4.589E+01  1.870E+02     423 A       179 A       125 A   
  14.00 keV   4.762E+01  1.840E+02     456 A       191 A       133 A   
  15.00 keV   4.929E+01  1.810E+02     490 A       203 A       141 A   
  16.00 keV   5.091E+01  1.782E+02     523 A       216 A       150 A   
  17.00 keV   5.248E+01  1.754E+02     557 A       228 A       158 A   
  18.00 keV   5.400E+01  1.727E+02     592 A       240 A       167 A   
  20.00 keV   5.693E+01  1.676E+02     661 A       264 A       184 A   
  22.50 keV   6.039E+01  1.616E+02     750 A       294 A       205 A   
  25.00 keV   6.366E+01  1.561E+02     840 A       323 A       227 A   
  27.50 keV   6.677E+01  1.509E+02     931 A       353 A       249 A   
  30.00 keV   6.974E+01  1.462E+02    1024 A       382 A       271 A   
