        Ion        dEdx      dEdx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 keV   1.875E+01  2.479E+00     759 A       487 A       408 A   
   3.00 keV   1.947E+01  2.366E+00     828 A       515 A       435 A   
   3.25 keV   2.015E+01  2.264E+00     898 A       542 A       461 A   
   3.50 keV   2.081E+01  2.172E+00     967 A       568 A       486 A   
   3.75 keV   2.144E+01  2.088E+00    1036 A       593 A       510 A   
   4.00 keV   2.205E+01  2.012E+00    1104 A       617 A       534 A   
   4.50 keV   2.324E+01  1.878E+00    1240 A       661 A       580 A   
   5.00 keV   2.439E+01  1.763E+00    1374 A       702 A       623 A   
   5.50 keV   2.551E+01  1.664E+00    1506 A       740 A       664 A   
   6.00 keV   2.659E+01  1.576E+00    1636 A       775 A       703 A   
   6.50 keV   2.764E+01  1.499E+00    1764 A       808 A       739 A   
   7.00 keV   2.866E+01  1.430E+00    1890 A       839 A       774 A   
   8.00 keV   3.061E+01  1.312E+00    2137 A       895 A       840 A   
   9.00 keV   3.245E+01  1.214E+00    2375 A       945 A       900 A   
  10.00 keV   3.418E+01  1.132E+00    2607 A       989 A       955 A   
  11.00 keV   3.582E+01  1.061E+00    2832 A      1030 A      1006 A   
  12.00 keV   3.738E+01  9.997E-01    3052 A      1066 A      1053 A   
  13.00 keV   3.885E+01  9.459E-01    3266 A      1100 A      1098 A   
  14.00 keV   4.025E+01  8.983E-01    3475 A      1131 A      1140 A   
  15.00 keV   4.159E+01  8.559E-01    3680 A      1159 A      1179 A   
  16.00 keV   4.286E+01  8.177E-01    3880 A      1185 A      1216 A   
  17.00 keV   4.407E+01  7.832E-01    4077 A      1210 A      1252 A   
  18.00 keV   4.523E+01  7.518E-01    4270 A      1233 A      1285 A   
  20.00 keV   4.739E+01  6.967E-01    4646 A      1276 A      1348 A   
  22.50 keV   4.984E+01  6.394E-01    5101 A      1322 A      1419 A   
  25.00 keV   5.203E+01  5.917E-01    5540 A      1364 A      1484 A   
  27.50 keV   5.400E+01  5.513E-01    5967 A      1401 A      1544 A   
  30.00 keV   5.576E+01  5.166E-01    6382 A      1434 A      1599 A   
  32.50 keV   5.734E+01  4.864E-01    6789 A      1465 A      1650 A   
  35.00 keV   5.875E+01  4.598E-01    7187 A      1492 A      1698 A   
  37.50 keV   6.001E+01  4.363E-01    7579 A      1518 A      1744 A   
  40.00 keV   6.114E+01  4.153E-01    7964 A      1543 A      1787 A   
  45.00 keV   6.302E+01  3.794E-01    8721 A      1588 A      1867 A   
  50.00 keV   6.448E+01  3.496E-01    9463 A      1629 A      1942 A   
  55.00 keV   6.558E+01  3.246E-01    1.02 um     1666 A      2011 A   
  60.00 keV   6.637E+01  3.032E-01    1.09 um     1701 A      2076 A   
  65.00 keV   6.690E+01  2.847E-01    1.16 um     1733 A      2138 A   
  70.00 keV   6.721E+01  2.685E-01    1.24 um     1763 A      2198 A   
  80.00 keV   6.729E+01  2.415E-01    1.38 um     1825 A      2311 A   
  90.00 keV   6.683E+01  2.198E-01    1.52 um     1883 A      2418 A   
 100.00 keV   6.599E+01  2.019E-01    1.67 um     1938 A      2522 A   
 110.00 keV   6.488E+01  1.869E-01    1.82 um     1991 A      2623 A   
 120.00 keV   6.361E+01  1.742E-01    1.97 um     2044 A      2723 A   
 130.00 keV   6.223E+01  1.632E-01    2.13 um     2095 A      2822 A   
 140.00 keV   6.080E+01  1.536E-01    2.29 um     2146 A      2921 A   
 150.00 keV   5.934E+01  1.452E-01    2.45 um     2198 A      3021 A   
 160.00 keV   5.790E+01  1.377E-01    2.62 um     2250 A      3122 A   
 170.00 keV   5.648E+01  1.310E-01    2.79 um     2302 A      3223 A   
 180.00 keV   5.509E+01  1.250E-01    2.96 um     2355 A      3326 A   
 200.00 keV   5.246E+01  1.145E-01    3.33 um     2489 A      3536 A   
 225.00 keV   4.946E+01  1.038E-01    3.81 um     2679 A      3810 A   
 250.00 keV   4.677E+01  9.511E-02    4.33 um     2876 A      4096 A   
 275.00 keV   4.439E+01  8.782E-02    4.87 um     3079 A      4396 A   
 300.00 keV   4.228E+01  8.163E-02    5.44 um     3289 A      4709 A   
 325.00 keV   4.039E+01  7.632E-02    6.04 um     3505 A      5036 A   
 350.00 keV   3.870E+01  7.169E-02    6.66 um     3728 A      5377 A   
 375.00 keV   3.719E+01  6.763E-02    7.31 um     3956 A      5731 A   
 400.00 keV   3.583E+01  6.404E-02    7.99 um     4191 A      6099 A   
 450.00 keV   3.349E+01  5.794E-02    9.42 um     4884 A      6871 A   
 500.00 keV   3.156E+01  5.297E-02   10.94 um     5574 A      7689 A   
 550.00 keV   2.996E+01  4.883E-02   12.55 um     6264 A      8550 A   
 600.00 keV   2.864E+01  4.533E-02   14.24 um     6953 A      9449 A   
 650.00 keV   2.756E+01  4.232E-02   16.01 um     7641 A      1.04 um  
 700.00 keV   2.669E+01  3.971E-02   17.84 um     8325 A      1.13 um  
 800.00 keV   2.548E+01  3.540E-02   21.64 um     1.04 um     1.33 um  
 900.00 keV   2.488E+01  3.197E-02   25.58 um     1.22 um     1.53 um  
   1.00 MeV   2.477E+01  2.919E-02   29.58 um     1.39 um     1.73 um  
   1.10 MeV   2.536E+01  2.687E-02   33.54 um     1.54 um     1.92 um  
   1.20 MeV   2.597E+01  2.491E-02   37.41 um     1.67 um     2.10 um  
   1.30 MeV   2.624E+01  2.324E-02   41.21 um     1.80 um     2.27 um  
   1.40 MeV   2.633E+01  2.178E-02   44.99 um     1.91 um     2.44 um  
   1.50 MeV   2.623E+01  2.051E-02   48.78 um     2.02 um     2.60 um  
   1.60 MeV   2.593E+01  1.939E-02   52.59 um     2.12 um     2.76 um  
   1.70 MeV   2.548E+01  1.838E-02   56.46 um     2.22 um     2.92 um  
   1.80 MeV   2.491E+01  1.749E-02   60.41 um     2.33 um     3.07 um  
   2.00 MeV   2.362E+01  1.594E-02   68.62 um     2.66 um     3.38 um  
   2.25 MeV   2.197E+01  1.437E-02   79.55 um     3.15 um     3.79 um  
   2.50 MeV   2.044E+01  1.310E-02   91.30 um     3.64 um     4.20 um  
   2.75 MeV   1.909E+01  1.204E-02  103.91 um     4.12 um     4.64 um  
   3.00 MeV   1.790E+01  1.115E-02  117.39 um     4.62 um     5.10 um  
   3.25 MeV   1.686E+01  1.039E-02  131.73 um     5.12 um     5.59 um  
   3.50 MeV   1.594E+01  9.730E-03  146.93 um     5.64 um     6.09 um  
   3.75 MeV   1.512E+01  9.153E-03  162.98 um     6.16 um     6.63 um  
   4.00 MeV   1.440E+01  8.643E-03  179.87 um     6.70 um     7.18 um  
   4.50 MeV   1.315E+01  7.784E-03  216.12 um     8.60 um     8.38 um  
   5.00 MeV   1.212E+01  7.088E-03  255.62 um    10.42 um     9.66 um  
   5.50 MeV   1.125E+01  6.510E-03  298.32 um    12.22 um    11.05 um  
   6.00 MeV   1.051E+01  6.024E-03  344.18 um    14.01 um    12.53 um  
   6.50 MeV   9.871E+00  5.608E-03  393.13 um    15.83 um    14.11 um  
   7.00 MeV   9.312E+00  5.249E-03  445.15 um    17.66 um    15.78 um  
   8.00 MeV   8.379E+00  4.657E-03  558.09 um    24.18 um    19.40 um  
   9.00 MeV   7.631E+00  4.190E-03  682.85 um    30.32 um    23.37 um  
  10.00 MeV   7.016E+00  3.812E-03  819.21 um    36.35 um    27.69 um  
  11.00 MeV   6.501E+00  3.499E-03  966.93 um    42.38 um    32.35 um  
  12.00 MeV   6.063E+00  3.236E-03    1.13 mm    48.46 um    37.35 um  
  13.00 MeV   5.685E+00  3.010E-03    1.30 mm    54.61 um    42.67 um  
  14.00 MeV   5.356E+00  2.816E-03    1.48 mm    60.87 um    48.31 um  
  15.00 MeV   5.066E+00  2.646E-03    1.67 mm    67.23 um    54.27 um  
