# Energy(keV)  dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
4.499990000000000379e-01 5.032000000000000028e+00 1.991999999999999886e+02 2.600000000000000314e-03
4.999990000000000268e-01 5.304000000000000270e+00 2.065000000000000000e+02 2.700000000000000143e-03
5.499990000000000157e-01 5.562999999999999723e+00 2.131999999999999886e+02 2.900000000000000234e-03
5.999990000000000601e-01 5.809999999999999609e+00 2.193000000000000114e+02 3.000000000000000062e-03
6.499989999999999934e-01 6.046999999999999709e+00 2.249000000000000057e+02 3.200000000000000153e-03
6.999990000000000379e-01 6.275999999999999801e+00 2.301999999999999886e+02 3.299999999999999982e-03
7.999990000000000157e-01 6.708999999999999631e+00 2.395999999999999943e+02 3.600000000000000335e-03
8.999989999999999934e-01 7.115999999999999659e+00 2.479000000000000057e+02 3.900000000000000255e-03
9.999990000000000823e-01 7.501000000000000334e+00 2.553000000000000114e+02 4.200000000000000608e-03
1.100000000000000089e+00 7.866999999999999993e+00 2.618999999999999773e+02 4.400000000000000265e-03
1.199999999999999956e+00 8.217000000000000526e+00 2.678000000000000114e+02 4.700000000000000185e-03
1.300000000000000044e+00 8.553000000000000824e+00 2.731999999999999886e+02 4.899999999999999842e-03
1.399999999999999911e+00 8.875999999999999446e+00 2.781999999999999886e+02 5.200000000000000629e-03
1.500000000000000000e+00 9.186999999999999389e+00 2.826999999999999886e+02 5.400000000000000286e-03
1.600000000000000089e+00 9.489000000000000767e+00 2.868999999999999773e+02 5.700000000000000205e-03
1.699999999999999956e+00 9.781000000000000583e+00 2.908000000000000114e+02 5.899999999999999863e-03
1.800000000000000044e+00 1.006000000000000050e+01 2.943999999999999773e+02 6.100000000000000387e-03
2.000000000000000000e+00 1.060999999999999943e+01 3.008000000000000114e+02 6.599999999999999964e-03
2.250000000000000000e+00 1.125000000000000000e+01 3.078000000000000114e+02 7.200000000000000670e-03
2.500000000000000000e+00 1.185999999999999943e+01 3.136999999999999886e+02 7.700000000000000247e-03
2.750000000000000000e+00 1.243999999999999950e+01 3.188000000000000114e+02 8.300000000000000086e-03
3.000000000000000000e+00 1.299000000000000021e+01 3.231000000000000227e+02 8.899999999999999925e-03
3.250000000000000000e+00 1.351999999999999957e+01 3.270000000000000000e+02 9.400000000000000369e-03
3.500000000000000000e+00 1.403999999999999915e+01 3.303000000000000114e+02 9.900000000000000813e-03
3.750000000000000000e+00 1.452999999999999936e+01 3.333000000000000114e+02 1.050000000000000065e-02
4.000000000000000000e+00 1.500000000000000000e+01 3.358000000000000114e+02 1.100000000000000110e-02
4.500000000000000000e+00 1.591999999999999993e+01 3.401000000000000227e+02 1.210000000000000138e-02
5.000000000000000000e+00 1.678000000000000114e+01 3.433999999999999773e+02 1.310000000000000053e-02
5.500000000000000000e+00 1.760000000000000142e+01 3.458999999999999773e+02 1.420000000000000082e-02
6.000000000000000000e+00 1.837999999999999901e+01 3.478999999999999773e+02 1.519999999999999997e-02
6.500000000000000000e+00 1.912999999999999901e+01 3.493000000000000114e+02 1.619999999999999912e-02
7.000000000000000000e+00 1.985000000000000142e+01 3.503999999999999773e+02 1.729999999999999941e-02
8.000000000000000000e+00 2.121999999999999886e+01 3.515000000000000000e+02 1.930000000000000118e-02
9.000000000000000000e+00 2.251000000000000156e+01 3.516000000000000227e+02 2.140000000000000235e-02
1.000000000000000000e+01 2.373000000000000043e+01 3.510000000000000000e+02 2.350000000000000006e-02
1.100000000000000000e+01 2.489000000000000057e+01 3.498999999999999773e+02 2.560000000000000123e-02
1.200000000000000000e+01 2.600000000000000000e+01 3.483999999999999773e+02 2.760000000000000300e-02
1.300000000000000000e+01 2.705999999999999872e+01 3.466999999999999886e+02 2.980000000000000010e-02
1.400000000000000000e+01 2.807999999999999829e+01 3.446999999999999886e+02 3.190000000000000474e-02
1.500000000000000000e+01 2.907000000000000028e+01 3.425000000000000000e+02 3.400000000000000244e-02
1.600000000000000000e+01 3.001999999999999957e+01 3.401999999999999886e+02 3.610000000000000014e-02
1.700000000000000000e+01 3.094999999999999929e+01 3.378000000000000114e+02 3.830000000000000071e-02
1.800000000000000000e+01 3.183999999999999986e+01 3.353999999999999773e+02 4.050000000000000128e-02
2.000000000000000000e+01 3.357000000000000028e+01 3.303999999999999773e+02 4.490000000000000241e-02
2.250000000000000000e+01 3.560999999999999943e+01 3.240000000000000000e+02 5.040000000000000036e-02
2.500000000000000000e+01 3.753000000000000114e+01 3.176999999999999886e+02 5.610000000000000403e-02
2.750000000000000000e+01 3.936999999999999744e+01 3.113999999999999773e+02 6.190000000000000363e-02
3.000000000000000000e+01 4.111999999999999744e+01 3.053999999999999773e+02 6.779999999999999916e-02
3.250000000000000000e+01 4.279999999999999716e+01 2.995000000000000000e+02 7.370000000000000162e-02
3.500000000000000000e+01 4.442000000000000171e+01 2.938000000000000114e+02 7.980000000000000981e-02
3.750000000000000000e+01 4.597999999999999687e+01 2.883999999999999773e+02 8.590000000000000413e-02
4.000000000000000000e+01 4.749000000000000199e+01 2.831000000000000227e+02 9.220000000000000417e-02
4.500000000000000000e+01 5.038000000000000256e+01 2.731000000000000227e+02 1.049000000000000071e-01
5.000000000000000000e+01 5.417000000000000171e+01 2.638999999999999773e+02 1.180000000000000077e-01
5.500000000000000000e+01 5.960000000000000142e+01 2.553000000000000114e+02 1.312000000000000111e-01
6.000000000000000000e+01 6.377000000000000313e+01 2.474000000000000057e+02 1.446999999999999953e-01
6.500000000000000000e+01 6.706000000000000227e+01 2.400000000000000000e+02 1.584000000000000130e-01
7.000000000000000000e+01 6.971999999999999886e+01 2.330999999999999943e+02 1.723000000000000087e-01
8.000000000000000000e+01 7.387999999999999545e+01 2.205999999999999943e+02 2.009000000000000230e-01
9.000000000000000000e+01 7.718999999999999773e+01 2.095999999999999943e+02 2.304000000000000214e-01
1.000000000000000000e+02 8.010999999999999943e+01 1.998000000000000114e+02 2.608000000000000318e-01
1.100000000000000000e+02 8.292000000000000171e+01 1.910000000000000000e+02 2.921000000000000263e-01
1.200000000000000000e+02 8.573000000000000398e+01 1.830999999999999943e+02 3.240999999999999992e-01
1.300000000000000000e+02 8.862000000000000455e+01 1.760000000000000000e+02 3.567000000000000171e-01
1.400000000000000000e+02 9.160999999999999943e+01 1.694000000000000057e+02 3.900000000000000133e-01
1.500000000000000000e+02 9.471999999999999886e+01 1.634000000000000057e+02 4.237000000000000210e-01
1.600000000000000000e+02 9.795000000000000284e+01 1.579000000000000057e+02 4.579000000000000292e-01
1.700000000000000000e+02 1.012999999999999972e+02 1.528000000000000114e+02 4.924000000000000044e-01
1.800000000000000000e+02 1.047999999999999972e+02 1.480999999999999943e+02 5.272000000000000020e-01
2.000000000000000000e+02 1.119000000000000057e+02 1.395999999999999943e+02 5.974000000000000421e-01
2.250000000000000000e+02 1.212999999999999972e+02 1.305000000000000000e+02 6.857000000000000872e-01
2.500000000000000000e+02 1.310999999999999943e+02 1.225999999999999943e+02 7.741000000000000103e-01
2.750000000000000000e+02 1.410000000000000000e+02 1.157999999999999972e+02 8.619999999999999885e-01
3.000000000000000000e+02 1.511999999999999886e+02 1.097999999999999972e+02 9.489000000000000767e-01
3.250000000000000000e+02 1.613000000000000114e+02 1.045000000000000000e+02 1.030000000000000027e+00
3.500000000000000000e+02 1.715999999999999943e+02 9.970999999999999375e+01 1.120000000000000107e+00
3.750000000000000000e+02 1.818000000000000114e+02 9.540999999999999659e+01 1.199999999999999956e+00
4.000000000000000000e+02 1.919000000000000057e+02 9.153000000000000114e+01 1.280000000000000027e+00
4.500000000000000000e+02 2.120000000000000000e+02 8.475000000000000000e+01 1.439999999999999947e+00
5.000000000000000000e+02 2.318000000000000114e+02 7.901999999999999602e+01 1.590000000000000080e+00
5.500000000000000000e+02 2.511999999999999886e+02 7.409999999999999432e+01 1.739999999999999991e+00
6.000000000000000000e+02 2.703000000000000114e+02 6.984000000000000341e+01 1.879999999999999893e+00
6.500000000000000000e+02 2.888999999999999773e+02 6.609000000000000341e+01 2.009999999999999787e+00
7.000000000000000000e+02 3.071999999999999886e+02 6.277000000000000313e+01 2.140000000000000124e+00
8.000000000000000000e+02 3.426999999999999886e+02 5.714999999999999858e+01 2.390000000000000124e+00
9.000000000000000000e+02 3.770000000000000000e+02 5.253999999999999915e+01 2.620000000000000107e+00
1.000000000000000000e+03 4.103000000000000114e+02 4.870000000000000284e+01 2.830000000000000071e+00
1.100000000000000000e+03 4.426999999999999886e+02 4.543999999999999773e+01 3.040000000000000036e+00
1.200000000000000000e+03 4.745000000000000000e+02 4.261999999999999744e+01 3.229999999999999982e+00
1.300000000000000000e+03 5.056000000000000227e+02 4.017999999999999972e+01 3.410000000000000142e+00
1.400000000000000000e+03 5.361000000000000227e+02 3.802000000000000313e+01 3.580000000000000071e+00
1.500000000000000000e+03 5.662000000000000455e+02 3.610999999999999943e+01 3.750000000000000000e+00
1.600000000000000000e+03 5.958999999999999773e+02 3.439000000000000057e+01 3.910000000000000142e+00
1.700000000000000000e+03 6.252000000000000455e+02 3.285000000000000142e+01 4.059999999999999609e+00
1.800000000000000000e+03 6.542000000000000455e+02 3.146000000000000085e+01 4.200000000000000178e+00
2.000000000000000000e+03 7.112999999999999545e+02 2.903000000000000114e+01 4.480000000000000426e+00
2.250000000000000000e+03 7.808999999999999773e+02 2.651000000000000156e+01 4.790000000000000036e+00
2.500000000000000000e+03 8.488999999999999773e+02 2.442999999999999972e+01 5.089999999999999858e+00
2.750000000000000000e+03 9.150000000000000000e+02 2.267999999999999972e+01 5.360000000000000320e+00
3.000000000000000000e+03 9.793999999999999773e+02 2.119000000000000128e+01 5.610000000000000320e+00
3.250000000000000000e+03 1.042000000000000000e+03 1.989000000000000057e+01 5.849999999999999645e+00
3.500000000000000000e+03 1.103000000000000000e+03 1.876000000000000156e+01 6.080000000000000071e+00
3.750000000000000000e+03 1.162000000000000000e+03 1.776000000000000156e+01 6.290000000000000036e+00
4.000000000000000000e+03 1.219000000000000000e+03 1.687000000000000099e+01 6.500000000000000000e+00
4.500000000000000000e+03 1.328000000000000000e+03 1.534999999999999964e+01 6.879999999999999893e+00
5.000000000000000000e+03 1.431000000000000000e+03 1.409999999999999964e+01 7.240000000000000213e+00
5.500000000000000000e+03 1.529000000000000000e+03 1.306000000000000050e+01 7.570000000000000284e+00
6.000000000000000000e+03 1.622000000000000000e+03 1.216000000000000014e+01 7.889999999999999680e+00
6.500000000000000000e+03 1.712000000000000000e+03 1.140000000000000036e+01 8.179999999999999716e+00
7.000000000000000000e+03 1.798000000000000000e+03 1.073000000000000043e+01 8.460000000000000853e+00
8.000000000000000000e+03 1.961000000000000000e+03 9.612999999999999545e+00 8.990000000000000213e+00
9.000000000000000000e+03 2.110000000000000000e+03 8.723000000000000753e+00 9.480000000000000426e+00
1.000000000000000000e+04 2.244000000000000000e+03 7.993999999999999773e+00 9.929999999999999716e+00
1.100000000000000000e+04 2.361000000000000000e+03 7.384999999999999787e+00 1.036999999999999922e+01
1.200000000000000000e+04 2.460000000000000000e+03 6.868000000000000327e+00 1.077999999999999936e+01
1.300000000000000000e+04 2.541000000000000000e+03 6.423000000000000043e+00 1.117999999999999972e+01
1.400000000000000000e+04 2.604000000000000000e+03 6.035999999999999588e+00 1.156000000000000050e+01
1.500000000000000000e+04 2.652000000000000000e+03 5.695999999999999730e+00 1.193999999999999950e+01
1.600000000000000000e+04 2.686000000000000000e+03 5.394999999999999574e+00 1.232000000000000028e+01
1.700000000000000000e+04 2.709000000000000000e+03 5.126000000000000334e+00 1.268999999999999950e+01
1.800000000000000000e+04 2.721000000000000000e+03 4.884000000000000341e+00 1.305000000000000071e+01
2.000000000000000000e+04 2.725000000000000000e+03 4.466999999999999638e+00 1.377999999999999936e+01
2.250000000000000000e+04 2.701000000000000000e+03 4.041999999999999815e+00 1.469999999999999929e+01
