        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 keV   2.296E+01  4.060E+02      73 A        30 A        23 A   
   3.00 keV   2.398E+01  4.137E+02      77 A        32 A        24 A   
   3.25 keV   2.496E+01  4.206E+02      82 A        33 A        25 A   
   3.50 keV   2.590E+01  4.269E+02      86 A        35 A        26 A   
   3.75 keV   2.681E+01  4.325E+02      90 A        36 A        27 A   
   4.00 keV   2.769E+01  4.377E+02      94 A        38 A        28 A   
   4.50 keV   2.937E+01  4.466E+02     102 A        40 A        30 A   
   5.00 keV   3.096E+01  4.542E+02     111 A        43 A        32 A   
   5.50 keV   3.247E+01  4.606E+02     119 A        46 A        34 A   
   6.00 keV   3.392E+01  4.660E+02     126 A        49 A        36 A   
   6.50 keV   3.530E+01  4.707E+02     134 A        51 A        38 A   
   7.00 keV   3.664E+01  4.746E+02     142 A        54 A        40 A   
   8.00 keV   3.917E+01  4.810E+02     157 A        59 A        44 A   
   9.00 keV   4.155E+01  4.857E+02     173 A        64 A        48 A   
  10.00 keV   4.379E+01  4.891E+02     188 A        69 A        51 A   
  11.00 keV   4.593E+01  4.915E+02     203 A        73 A        55 A   
  12.00 keV   4.798E+01  4.931E+02     218 A        78 A        58 A   
  13.00 keV   4.994E+01  4.940E+02     233 A        83 A        62 A   
  14.00 keV   5.182E+01  4.944E+02     248 A        88 A        65 A   
  15.00 keV   5.364E+01  4.944E+02     263 A        92 A        68 A   
  16.00 keV   5.540E+01  4.940E+02     277 A        97 A        72 A   
  17.00 keV   5.711E+01  4.934E+02     292 A       101 A        75 A   
  18.00 keV   5.877E+01  4.924E+02     307 A       106 A        78 A   
  20.00 keV   6.195E+01  4.900E+02     337 A       115 A        85 A   
  22.50 keV   6.571E+01  4.862E+02     375 A       126 A        93 A   
  25.00 keV   6.927E+01  4.817E+02     412 A       137 A       101 A   
  27.50 keV   7.265E+01  4.769E+02     450 A       149 A       109 A   
  30.00 keV   7.588E+01  4.717E+02     489 A       160 A       116 A   
  32.50 keV   7.899E+01  4.665E+02     527 A       171 A       124 A   
  35.00 keV   8.197E+01  4.611E+02     566 A       182 A       132 A   
  37.50 keV   8.485E+01  4.558E+02     605 A       193 A       140 A   
  40.00 keV   8.764E+01  4.504E+02     644 A       204 A       147 A   
  45.00 keV   9.296E+01  4.399E+02     724 A       225 A       163 A   
  50.00 keV   9.799E+01  4.297E+02     805 A       247 A       178 A   
  55.00 keV   1.028E+02  4.198E+02     887 A       269 A       194 A   
  60.00 keV   1.074E+02  4.103E+02     970 A       290 A       210 A   
  65.00 keV   1.116E+02  4.013E+02    1054 A       312 A       225 A   
  70.00 keV   1.149E+02  3.926E+02    1139 A       333 A       241 A   
  80.00 keV   1.208E+02  3.764E+02    1312 A       376 A       273 A   
  90.00 keV   1.260E+02  3.617E+02    1490 A       419 A       305 A   
 100.00 keV   1.306E+02  3.482E+02    1672 A       462 A       337 A   
 110.00 keV   1.350E+02  3.358E+02    1858 A       505 A       370 A   
 120.00 keV   1.390E+02  3.244E+02    2048 A       548 A       404 A   
 130.00 keV   1.430E+02  3.138E+02    2241 A       590 A       437 A   
 140.00 keV   1.468E+02  3.041E+02    2437 A       633 A       471 A   
