       Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   2.75 keV   1.244E+01  3.188E+02      83 A        37 A        27 A   
   3.00 keV   1.299E+01  3.231E+02      89 A        39 A        29 A   
   3.25 keV   1.352E+01  3.270E+02      94 A        42 A        31 A   
   3.50 keV   1.404E+01  3.303E+02      99 A        44 A        32 A   
   3.75 keV   1.453E+01  3.333E+02     105 A        46 A        34 A   
   4.00 keV   1.500E+01  3.358E+02     110 A        48 A        35 A   
   4.50 keV   1.592E+01  3.401E+02     121 A        52 A        38 A   
   5.00 keV   1.678E+01  3.434E+02     131 A        56 A        41 A   
   5.50 keV   1.760E+01  3.459E+02     142 A        60 A        44 A   
   6.00 keV   1.838E+01  3.479E+02     152 A        64 A        46 A   
   6.50 keV   1.913E+01  3.493E+02     162 A        67 A        49 A   
   7.00 keV   1.985E+01  3.504E+02     173 A        71 A        52 A   
   8.00 keV   2.122E+01  3.515E+02     193 A        79 A        57 A   
   9.00 keV   2.251E+01  3.516E+02     214 A        86 A        62 A   
  10.00 keV   2.373E+01  3.510E+02     235 A        94 A        67 A   
  11.00 keV   2.489E+01  3.499E+02     256 A       101 A        73 A   
  12.00 keV   2.600E+01  3.484E+02     276 A       109 A        78 A   
  13.00 keV   2.706E+01  3.467E+02     298 A       116 A        83 A   
  14.00 keV   2.808E+01  3.447E+02     319 A       123 A        88 A   
  15.00 keV   2.907E+01  3.425E+02     340 A       131 A        93 A   
  16.00 keV   3.002E+01  3.402E+02     361 A       138 A        98 A   
  17.00 keV   3.095E+01  3.378E+02     383 A       146 A       103 A   
  18.00 keV   3.184E+01  3.354E+02     405 A       153 A       108 A   
  20.00 keV   3.357E+01  3.304E+02     449 A       168 A       118 A   
  22.50 keV   3.561E+01  3.240E+02     504 A       187 A       130 A   
  25.00 keV   3.753E+01  3.177E+02     561 A       205 A       142 A   
  27.50 keV   3.937E+01  3.114E+02     619 A       224 A       155 A   
  30.00 keV   4.112E+01  3.054E+02     678 A       243 A       168 A   
  32.50 keV   4.280E+01  2.995E+02     737 A       262 A       180 A   
  35.00 keV   4.442E+01  2.938E+02     798 A       281 A       193 A   
  37.50 keV   4.598E+01  2.884E+02     859 A       300 A       206 A   
  40.00 keV   4.749E+01  2.831E+02     922 A       319 A       219 A   
  45.00 keV   5.038E+01  2.731E+02    1049 A       357 A       246 A   
  50.00 keV   5.417E+01  2.639E+02    1180 A       396 A       273 A   
  55.00 keV   5.960E+01  2.553E+02    1312 A       434 A       301 A   
  60.00 keV   6.377E+01  2.474E+02    1447 A       472 A       329 A   
  65.00 keV   6.706E+01  2.400E+02    1584 A       509 A       357 A   
  70.00 keV   6.972E+01  2.331E+02    1723 A       547 A       386 A   
  80.00 keV   7.388E+01  2.206E+02    2009 A       623 A       444 A   
  90.00 keV   7.719E+01  2.096E+02    2304 A       699 A       504 A   
 100.00 keV   8.011E+01  1.998E+02    2608 A       775 A       565 A   
 110.00 keV   8.292E+01  1.910E+02    2921 A       852 A       627 A   
 120.00 keV   8.573E+01  1.831E+02    3241 A       928 A       690 A   
 130.00 keV   8.862E+01  1.760E+02    3567 A      1004 A       754 A   
 140.00 keV   9.161E+01  1.694E+02    3900 A      1080 A       819 A   
 150.00 keV   9.472E+01  1.634E+02    4237 A      1155 A       885 A   
 160.00 keV   9.795E+01  1.579E+02    4579 A      1230 A       951 A   
 170.00 keV   1.013E+02  1.528E+02    4924 A      1303 A      1018 A   
 180.00 keV   1.048E+02  1.481E+02    5272 A      1375 A      1085 A   
 200.00 keV   1.119E+02  1.396E+02    5974 A      1518 A      1221 A   
 225.00 keV   1.213E+02  1.305E+02    6857 A      1688 A      1390 A   
 250.00 keV   1.311E+02  1.226E+02    7741 A      1850 A      1558 A   
 275.00 keV   1.410E+02  1.158E+02    8620 A      2003 A      1722 A   
 300.00 keV   1.512E+02  1.098E+02    9489 A      2147 A      1883 A   
 325.00 keV   1.613E+02  1.045E+02    1.03 um     2282 A      2038 A   
 350.00 keV   1.716E+02  9.971E+01    1.12 um     2409 A      2189 A   
 375.00 keV   1.818E+02  9.541E+01    1.20 um     2528 A      2335 A   
